hashID {9},money {3},exp {3},TicketParty {2},TicketSquad {2},u_point {2},classExp {3},btlPoint {2},friendPoint {2},Miranum {3}
<CF8BDEEE>,12000,1200,100,10,0,0,9,0,0
<708047BC>,15500,2200,130,13,0,0,18,0,0
<02292FD9>,17200,4000,110,11,0,0,36,0,0
<43A42B0D>,17950,4000,150,15,0,0,36,0,0
<8D1F2EBB>,7800,400,60,6,0,0,6,0,0
<686FD23C>,11300,1200,90,9,0,0,9,0,0
<697F2A5E>,13400,2200,110,11,0,0,18,0,0
<CAAB02CD>,16200,2200,140,14,0,0,18,0,0
<5F4BF498>,19350,4000,170,17,0,0,36,0,0
<414C83DE>,11900,1200,110,11,0,0,9,0,0
<B9FB352D>,7450,400,50,5,0,0,6,0,0
<977CBFFA>,9550,1200,70,7,0,0,9,0,0
<EB3450CB>,12700,1200,100,10,0,0,9,0,0
<E0783BF4>,15400,2200,150,15,0,0,18,0,0
<A49B7A3D>,17600,4000,150,15,0,0,36,0,0
<CE12B706>,12700,1200,100,10,0,0,9,0,0
<960434F4>,23550,10000,210,21,0,0,64,0,0
<AE4D7203>,23550,10000,210,21,0,0,64,0,0
<330CF228>,23550,10000,210,21,0,0,64,0,0
<0AC6EAD4>,23550,10000,210,21,0,0,64,0,0
<581614C5>,23550,10000,210,21,0,0,64,0,0
<8BE7117E>,23550,10000,210,21,0,0,64,0,0
<CF816CA4>,23550,10000,210,21,0,0,64,0,0
<D813B236>,23550,10000,210,21,0,0,64,0,0
<FDF88259>,23550,10000,210,21,0,0,64,0,0
<2C59F61B>,23550,10000,210,21,0,0,64,0,0
<B0222C17>,22800,10000,150,15,0,0,64,0,0
<C757CCC5>,24150,10000,260,26,0,0,64,0,0
<5804A1FB>,22800,10000,150,15,0,0,64,0,0
<80267D35>,22800,10000,150,15,0,0,64,0,0
<58EF423E>,24150,10000,260,26,0,0,64,0,0
<A1EFB234>,23550,10000,210,21,0,0,64,0,0
<DDF8F4D9>,22800,10000,150,15,0,0,64,0,0
<D543E5B3>,22800,10000,150,15,0,0,64,0,0
<16888935>,23550,10000,210,21,0,0,64,0,0
<EC2D8089>,23550,10000,210,21,0,0,64,0,0
<E05098AF>,9200,400,70,7,0,0,6,0,0
<2BAE3225>,11600,1200,70,7,0,0,9,0,0
<BF66BDB8>,15850,2200,130,13,0,0,18,0,0
<D974EB46>,17950,4000,150,15,0,0,36,0,0
<A0A09148>,20400,6600,180,18,0,0,48,0,0
<99A70BC4>,12350,1200,100,10,0,0,9,0,0
<9C8972F1>,15100,2200,100,10,0,0,18,0,0
<45D3ED79>,19650,6600,130,13,0,0,48,0,0
<A888D648>,10850,1200,100,10,0,0,9,0,0
<FDBB232E>,13050,2200,110,11,0,0,18,0,0
<62D8FD7C>,16900,4000,140,14,0,0,36,0,0
<044F7C93>,19000,4000,160,16,0,0,36,0,0
<DD8680FB>,21100,6600,190,19,0,0,48,0,0
<73329D59>,13050,2200,110,11,0,0,18,0,0
<7D7663CC>,19000,4000,160,16,0,0,36,0,0
<1B4574D5>,11950,1200,70,7,0,0,9,0,0
<27E104A4>,15500,2200,130,13,0,0,18,0,0
<2232DEDA>,17900,4000,120,12,0,0,36,0,0
<BB47E845>,21800,6600,190,19,0,0,48,0,0
<B0612052>,22850,6600,200,20,0,0,48,0,0
<9B1230D6>,12700,1200,100,10,0,0,9,0,0
<B99E0881>,18650,4000,160,16,0,0,36,0,0
<7E4574F5>,13750,2200,110,11,0,0,18,0,0
<DD93700A>,14800,2200,120,12,0,0,18,0,0
<25F773B5>,19700,4000,170,17,0,0,36,0,0
<D3FA3C0B>,22500,6600,200,20,0,0,48,0,0
<95CEEA04>,22100,6600,140,14,0,0,48,0,0
<61F2B733>,13000,2200,80,8,0,0,18,0,0
<F3236204>,19700,4000,170,17,0,0,36,0,0
<FB5AAA45>,22100,6600,140,14,0,0,48,0,0
<72591840>,23550,10000,210,21,0,0,64,0,0
<7500F522>,23550,10000,210,21,0,0,64,0,0
<5000C19C>,22800,10000,150,15,0,0,64,0,0
<0B895ADB>,36000,10000,1200,120,0,0,64,0,0
<237CAFEE>,23550,10000,210,21,0,0,64,0,0
<F8850E48>,23550,10000,210,21,0,0,64,0,0
<270D367C>,22800,10000,150,15,0,0,64,0,0
<54A43B58>,23550,10000,210,21,0,0,64,0,0
<98C35020>,36000,10000,1200,120,0,0,64,0,0
<DB5EA723>,23550,10000,210,21,0,0,64,0,0
<0662E080>,23550,10000,210,21,0,0,64,0,0
<8FAFC763>,36000,10000,1200,120,0,0,64,0,0
<314998D3>,24150,10000,260,26,0,0,64,0,0
<F603468E>,23550,10000,210,21,0,0,64,0,0
<1BC4CFF7>,0,0,0,0,0,0,0,0,0
<B0374157>,0,0,0,0,0,0,0,0,0
<9046AA24>,0,0,0,0,0,0,0,0,0
<C069AE10>,1500,300,0,0,0,0,0,0,0
<2E00E2C7>,3000,500,0,0,0,0,0,0,0
<95F36751>,4500,750,0,0,0,0,0,0,0
<C35AD1CD>,6000,900,0,0,0,0,0,0,0
<D788E518>,7500,1200,0,0,0,0,0,0,0
<01874203>,14000,2100,0,0,0,0,0,0,0
<727B2C11>,11000,1800,0,0,0,0,0,0,0
<0BFAA246>,9000,1500,0,0,0,0,0,0,0
<B3D71AE9>,7000,30,0,0,0,0,0,0,0
<57241DCC>,8000,35,0,0,0,0,0,0,0
<3860196E>,0,200,0,0,0,9,4,0,0
<5B909784>,0,700,0,0,0,12,8,0,0
<B44D65B4>,0,1600,0,0,0,15,12,0,0
<AE364421>,0,2700,0,0,0,18,24,0,0
<52755830>,0,4500,0,0,0,21,48,0,0
<D46BC664>,0,7300,0,0,0,24,60,0,0
<DD8766F1>,20000,0,0,0,0,0,0,0,3000
<703D18E5>,40000,0,0,0,0,0,0,0,5000
<41FF843B>,75000,0,0,0,0,0,0,0,10000
<440FDD07>,100000,0,0,0,0,0,0,0,15000
<0E4299FE>,150000,0,0,0,0,0,0,0,20000
<FD77161B>,300000,0,0,0,0,0,0,0,30000
<5A7328F2>,0,0,0,0,0,0,0,60,0
<8FB52750>,0,0,0,0,0,0,0,120,0
<C5A2DADD>,0,0,0,0,0,0,0,180,0
<2B84D309>,0,0,0,0,0,0,0,240,0
<55FC77D3>,0,0,0,0,0,0,0,300,0
<E668F06C>,0,0,0,0,0,0,0,360,0
