ID_int {9},TaskType {1},enemyID1 {2},count1 {1},enemyID2 {2},count2 {1},enemyID3 {2},count3 {1},enemyID4 {2},count4 {1},GimmickType1 {1},MatchingID1 {3},GimmickType2 {1},MatchingID2 {3},GimmickType3 {1},MatchingID3 {3},GimmickType4 {1},MatchingID4 {3},PartsEneID1 {2},PartsName1 {7},PartsCount1 {1},PartsEneID2 {2},PartsName2 {7},PartsCount2 {1},PartsEneID3 {2},PartsName3 {7},PartsCount3 {1},PartsEneID4 {2},PartsName4 {7},PartsCount4 {1},Navi_Type {1},Navi_Title {2}
<09AF7E5C>,0,918,1,919,1,920,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<936BFC95>,0,929,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1AAF7B59>,0,930,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<B658CD81>,0,931,1,932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4086C1D3>,0,941,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F0AB2666>,1,0,0,0,0,0,0,0,0,2,2015021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<40648CCE>,0,945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<66AB0161>,0,954,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C37D605C>,0,955,2,956,2,957,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<EB77D1DD>,0,966,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C8E39E10>,0,967,3,968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1C9B1385>,0,977,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D4C70C4A>,0,978,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FC47A8BC>,0,979,1,980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FAAFC596>,0,989,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E8AC4F69>,0,990,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0902AC5F>,0,993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<04FF2257>,0,1002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<9A3CB747>,0,1003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<CBE4E1A7>,0,1005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<EBA69416>,0,1014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F856234D>,0,1016,1,1015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<86178A4A>,0,1025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<211E39EA>,0,1026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<17FF6B27>,0,1028,1,1029,1,1030,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<5000A14D>,0,1040,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<75630BC6>,0,1042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<74609E95>,0,1052,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6E6E53F9>,0,1051,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<08FB8CCA>,0,1054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<66DE9607>,0,1064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<8A23E586>,0,1063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<14C6C2EA>,0,1065,1,1066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<3F42E20E>,0,1075,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6F0D1045>,1,0,0,0,0,0,0,0,0,1,2026021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,8,6
<B3497CC6>,0,1080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<5F93A6A9>,0,1089,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<98CF93D6>,0,1091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<90DD615C>,0,1100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<3AE59B18>,0,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F33E22C9>,0,1104,2,1105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FA5F4178>,0,1107,2,1108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<67456D72>,0,1109,1,1110,1,1111,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F1DAE813>,0,1112,1,1113,1,1114,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E16F4A49>,1,0,0,0,0,0,0,0,0,1,2029051,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<6C5BB217>,0,1115,1,1116,1,1117,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FBC66CF3>,0,1118,1,1119,1,1120,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D447F5C0>,0,1121,1,1122,1,1123,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1A780EE3>,0,1106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0
<D5F2E832>,0,1132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<8AE08D94>,0,1133,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<EB256D3D>,0,1135,1,1136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F88DBC55>,0,1137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E7259C61>,0,1138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<18701DAB>,0,1345,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FBE855B9>,0,1346,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<652397D8>,0,1347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D4381E25>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,tail,1,0,,0,0,,0,0,,0,0,0
<1CA477E9>,0,1239,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<40BB6C79>,0,1240,3,1241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0374DE1B>,0,1579,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D4D5DA68>,0,1581,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<01939B5E>,0,1437,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<DA127034>,0,1438,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<63B1B6F6>,0,1439,1,1440,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<DBC2EFC8>,0,1242,1,1243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<151604E5>,0,4067,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0FEF54CE>,0,1244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<532B18C3>,0,1245,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6E0DD278>,0,1246,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0CBB0520>,0,1139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0DA2249A>,0,1140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4624BC03>,0,1582,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<378C1B21>,0,1583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<A1CE8720>,0,1348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<AC48B7B4>,0,1349,2,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<903F270E>,0,1351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0
<548B5E88>,0,1441,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<7A194FD0>,0,1442,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<9504DC44>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,head,1,0,,0,0,,0,0,,0,10,12
<6BCB484D>,1,0,0,0,0,0,0,0,0,2,2042011,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<22C614BC>,0,1247,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4DE76534>,0,876,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<3E0DCA5E>,0,1352,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4656C194>,0,1353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1E5824D2>,0,1248,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E9F88085>,0,1249,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<DC61B8AE>,0,1141,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E96F0DA8>,0,1142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<61F0D3E6>,0,1143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E1337398>,0,1144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0
<C3167961>,1,0,0,0,0,0,0,0,0,2,2046011,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<1B22ADC3>,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,1,1
<D7A0CDE8>,0,1447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<8A30AB64>,0,1355,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E249B036>,0,1354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1E31F29C>,0,1250,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6F7E45AB>,0,1251,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<A3CA25C3>,0,1448,2,1449,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<54529841>,1,0,0,0,0,0,0,0,0,2,2049021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<F77C8AF0>,0,877,3,878,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6B5B6843>,0,1252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E2182581>,0,1356,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<3D1E77FC>,0,1357,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<15E87F62>,0,1584,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<257C264D>,0,1585,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<BE816B92>,0,1586,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<A1051ECA>,1,0,0,0,0,0,0,0,0,2,2052021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0
<16E7049E>,0,1452,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<38CA3F2A>,0,1453,2,1454,1,1455,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<A6BC5E83>,1,0,0,0,0,0,0,0,0,2,2053031,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<7ACF6691>,0,1145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<064FBFBF>,0,1146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<1CBACCA7>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,Acid_Pouch,1,0,,0,0,,0,0,,0,0,0
<B268B6F6>,0,1262,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<551130BA>,1,0,0,0,0,0,0,0,0,2,2055021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<B80451EA>,0,1263,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<14286CC2>,0,1147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<2A4AA329>,0,1358,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E6676ECF>,1,0,0,0,0,0,0,0,0,2,2057021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<E433C6DE>,0,1359,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<2A4BC14F>,0,1360,2,1361,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<62023ECE>,0,1148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<595831CC>,0,1264,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<AB3D0FCE>,0,1265,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<A8B3C48C>,0,1266,3,1267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<6B50B0BC>,0,1149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D61EC28C>,0,1150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<5D553FBF>,0,1151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<609363E8>,0,1362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<26BE8940>,1,0,0,0,0,0,0,0,0,2,2062011,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,9,7
<E44A4F3E>,0,1268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<966394C6>,0,1588,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F8B864F7>,1,0,0,0,0,0,0,0,0,1,2063021,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,8,6
<B1BA488A>,0,1589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<23AF1FD3>,0,1270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<B7525CE8>,0,1364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<89366389>,0,1365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FC895300>,0,1272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<D5BDCCA5>,0,4068,2,1272,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<AC5E398E>,0,1273,3,1274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<5E000FD3>,0,1590,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<FFC5DC6E>,0,1592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C56C9370>,0,1591,1,879,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C41FDED4>,0,1366,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<91A8D1E8>,0,1367,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<AB1CD201>,0,1593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<C926737E>,0,1594,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<23194D82>,0,884,2,885,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<F77C8B9F>,0,1152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<0B2F7798>,0,1275,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<4D6A6FED>,0,1276,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<E644512F>,0,1277,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<540EBAFA>,0,1368,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<8E3A8737>,0,1369,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<553FE134>,0,1370,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<7C579B35>,0,1153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<241FE2E8>,0,1154,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<792E532F>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,Acid_Pouch,1,0,,0,0,,0,0,,0,10,13
<9B1ADF7B>,0,1280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<B9062F73>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,foot_R,1,0,,0,0,,0,0,,0,10,14
<3BFD98B5>,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,weak,1,0,,0,0,,0,0,,0,0,0
<D89BB192>,0,1595,1,1596,1,1597,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<A51D91C8>,0,1599,1,1596,1,1598,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
<CE5C20C9>,0,1600,1,1601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,3,3
