money {3},exp {3},TicketParty {2},TicketSquad {2},u_point {2},classExp {3},btlPoint {2},friendPoint {2},Miranum {3}
7800,30,15,3,15,0,2,0,0
11200,30,17,3,20,0,2,0,0
16800,50,46,9,25,0,2,0,0
19600,60,52,5,25,0,2,0,0
19600,60,52,5,30,0,2,0,0
6000,20,13,3,10,0,2,0,0
10500,30,16,3,15,0,2,0,0
12600,40,20,4,20,0,2,0,0
17600,50,24,5,25,0,2,0,0
23850,60,54,5,30,0,2,0,0
10500,30,16,3,20,0,2,0,0
4750,20,13,3,10,0,2,0,0
7500,30,15,3,15,0,2,0,0
11900,40,18,4,20,0,2,0,0
16000,40,22,4,25,0,2,0,0
19200,50,50,5,25,0,2,0,0
11900,40,27,5,20,0,2,0,0
32175,10,300,6,10,0,2,0,0
2500,20,100,2,10,0,2,0,0
22500,30,260,5,20,0,2,0,0
32175,40,300,6,25,0,2,0,0
32175,20,300,6,10,0,2,0,0
16000,50,330,7,25,0,2,0,0
6000,20,130,3,10,0,2,0,0
10500,30,160,3,15,0,2,0,0
30000,40,300,6,20,0,2,0,0
32175,50,300,6,25,0,2,0,0
10500,60,160,3,30,0,2,0,0
32175,30,450,9,15,0,2,0,0
32175,20,300,6,10,0,2,0,0
32175,20,300,6,15,0,2,0,0
16000,40,220,4,20,0,2,0,0
22500,50,260,5,25,0,2,0,0
6000,60,130,3,30,0,2,0,0
10500,20,160,3,10,0,2,0,0
32175,60,300,6,30,0,2,0,0
22500,20,520,10,10,0,2,0,0
7200,20,14,3,10,0,2,0,0
11550,30,18,4,20,0,2,0,0
17200,50,23,5,25,0,2,0,0
19600,60,52,5,25,0,2,0,0
25200,60,112,6,30,0,2,0,0
11550,40,18,4,20,0,2,0,0
17200,50,23,5,25,0,2,0,0
25200,60,112,6,30,0,2,0,0
8100,30,15,3,15,0,2,0,0
12250,40,19,4,20,0,2,0,0
18400,50,48,5,25,0,2,0,0
23400,60,108,11,30,0,2,0,0
26100,70,116,6,30,0,2,0,0
12250,40,19,4,20,0,2,0,0
23400,60,134,13,30,0,2,0,0
11900,40,18,4,20,0,2,0,0
16800,40,23,5,25,0,2,0,0
22950,60,52,5,30,0,2,0,0
30000,70,120,6,30,0,2,0,0
32000,80,230,5,30,0,2,0,0
11900,40,18,4,20,0,2,0,0
22950,60,52,5,30,0,2,0,0
12950,40,20,4,20,0,2,0,0
16000,50,22,4,25,0,2,0,0
24300,60,56,6,30,0,2,0,0
31000,70,220,4,30,0,2,0,0
33000,80,230,5,30,0,2,0,0
12950,40,30,6,25,0,2,0,0
24300,60,84,8,30,0,2,0,0
33000,80,230,5,30,0,2,0,0
6000,50,130,3,25,0,2,0,0
2500,60,100,2,30,0,2,0,0
32175,70,300,6,30,0,2,0,0
32175,80,300,6,30,0,2,0,0
30000,90,300,6,30,0,2,0,0
30000,50,300,6,25,0,2,0,0
32175,70,300,6,30,0,2,0,0
32175,60,300,6,30,0,2,0,0
32175,70,300,6,30,0,2,0,0
2500,80,100,2,30,0,2,0,0
32175,90,300,6,30,0,2,0,0
32175,70,450,9,30,0,2,0,0
32175,90,300,6,30,0,2,0,0
16000,100,220,4,30,0,2,0,0
0,0,0,0,30,0,0,0,0
0,0,0,0,30,0,0,0,0
0,0,0,0,30,0,0,0,0
1500,300,0,0,20,0,0,0,0
3000,500,0,0,20,0,0,0,0
4500,750,0,0,20,0,0,0,0
6000,900,0,0,20,0,0,0,0
7500,1200,0,0,20,0,0,0,0
14000,2100,0,0,20,0,0,0,0
11000,1800,0,0,20,0,0,0,0
9000,1500,0,0,20,0,0,0,0
7000,30,0,0,20,0,0,0,0
8000,35,0,0,20,0,0,0,0
0,200,0,0,0,9,4,0,0
0,700,0,0,0,12,8,0,0
0,1600,0,0,0,15,12,0,0
0,2700,0,0,0,18,24,0,0
0,4500,0,0,0,21,48,0,0
0,7300,0,0,0,24,60,0,0
20000,0,0,0,0,0,0,0,3000
40000,0,0,0,0,0,0,0,5000
75000,0,0,0,0,0,0,0,10000
100000,0,0,0,0,0,0,0,15000
150000,0,0,0,0,0,0,0,20000
300000,0,0,0,0,0,0,0,30000
0,0,0,0,500,0,0,60,0
0,0,0,0,1000,0,0,120,0
0,0,0,0,1500,0,0,180,0
0,0,0,0,2000,0,0,240,0
0,0,0,0,3000,0,0,300,0
0,0,0,0,5000,0,0,360,0
