resource {2},Action {7},PathMot {7},PathChr {7},Effect {7},ClipEvent {7},CES_EFFECT {7},CES_SOUND {7},SND_PACK {7},SeEnv {2},ProxyID {2},unionID {7},family {1},sex {1},age {2},job1 {2},job2 {2},job3 {2},job4 {2},outline1 {2},outline2 {2},outline3 {2},outline4 {2},outline5 {2},outline6 {2},outline7 {2},group {2},UI {2},NPCType {1},name {2},TypeFamily {1},UnionSet {1},facial {2},Flag [talk] {1},Flag [map] {1}
15,np0111,pc285000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,119,uni0015,1,2,26,15,0,0,0,513,514,0,0,0,0,0,15,1587,0,15,0,5,1,1,1
16,np0111,pc286000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,118,uni0016,1,2,21,16,0,0,0,515,0,0,0,0,0,0,7,1588,0,16,0,7,16,1,1
17,np0111,pc287000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,120,uni0017,1,2,24,17,0,0,0,517,518,0,0,0,0,0,8,1589,0,17,0,8,1,1,1
18,np0111,pc288000,pc020000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0018,1,2,19,18,0,0,0,519,0,0,0,0,0,0,3,1590,0,18,0,5,18,1,1
40,np0111,pc281000,pc020000,,pc281000,effect_pc281000,sound_pc281000,,9,119,uni0019,16,2,65535,11,0,0,0,505,506,0,0,0,0,0,0,1967,0,11,0,4,11,1,1
20,np0111,np002101,np002101,,np002101,effect_np002101,sound_np002101,,9,117,uni0021,1,1,48,21,0,0,0,523,0,0,0,0,0,0,1101,1591,1,20,0,0,21,1,0
21,np0111,np002201,np002201,,np002201,effect_np002201,sound_np002201,,9,116,uni0022,1,1,65,22,0,0,0,525,0,0,0,0,0,0,1101,1592,1,21,0,0,22,1,0
22,np0111,np005001,np005001,,np005001,effect_np005001,sound_np005001,se_np005001,9,137,uni0023,13,1,65535,23,24,0,0,527,528,0,0,0,0,0,1102,1593,1,22,0,0,1,1,0
23,np0111,pc181000,pc010000,,pc181000,effect_pc181000,sound_pc181000,,9,115,uni0024,1,1,57,25,0,0,0,529,0,0,0,0,0,0,1101,1573,1,1,0,0,4,1,1
24,np0111,pc283000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,118,uni0025,12,2,18,26,0,0,0,531,0,0,0,0,0,0,1101,1585,1,13,0,0,13,1,1
25,np0111,pc288000,pc020000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0026,1,2,19,27,0,0,0,532,0,0,0,0,0,0,2101,1590,2,18,0,0,18,1,1
33,np0111,pc288000,pc020000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0030,1,2,19,31,0,0,0,533,0,0,0,0,0,0,2101,1590,2,18,0,0,18,1,1
38,np0111,pc185000,pc010000,,pc185000,effect_pc185000,sound_pc185000,,9,115,uni0031,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,5,0,2,1,1,1
39,np0111,pc183010,pc010000,,pc183000,effect_pc183000,sound_pc183000,,9,115,uni0032,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,3,0,1,3,1,1
42,np0111,pc183001,pc010000,,,,,,9,115,uni0033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,3,0,1,3,1,1
41,np0111,pc185000,pc010000,,pc185000,effect_pc185000,sound_pc185000,,9,115,uni0034,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,5,0,2,1,1,1
24,np0111,pc283000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,118,uni0035,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,13,0,0,13,0,1
4,np0111,pc184000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0040,1,1,28,4,0,0,0,491,0,0,0,0,0,0,1000,1576,3,4,0,1,1,1,1
6,np0111,pc186000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0041,1,1,30,6,0,0,0,495,0,0,0,0,0,0,2000,1578,3,6,0,2,1,1,1
8,np0111,pc188000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0042,1,1,22,8,0,0,0,499,0,0,0,0,0,0,3000,1580,3,8,0,4,1,1,1
9,np0111,pc189000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0043,1,1,54,9,0,0,0,501,0,0,0,0,0,0,2000,1581,3,9,0,3,1,1,1
10,np0111,pc190000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0044,1,1,24,10,0,0,0,503,0,0,0,0,0,0,2000,1582,3,10,0,6,1,1,1
15,np0111,pc285000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,119,uni0045,1,2,26,15,0,0,0,513,0,0,0,0,0,0,3000,1587,3,15,0,5,1,1,1
16,np0111,pc286000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,118,uni0046,1,2,21,16,0,0,0,515,0,0,0,0,0,0,4000,1588,3,16,0,7,16,1,1
17,np0111,pc287000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,120,uni0047,1,2,24,17,0,0,0,517,0,0,0,0,0,0,4000,1589,3,17,0,8,1,1,1
39,np0111,pc183010,pc010000,,pc183000,effect_pc183000,sound_pc183000,,9,115,uni0051,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,3,0,1,3,0,1
23,np0111,pc181000,pc010000,,,,,,9,116,uni0052,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,1,0,0,4,1,1
26,np0111,np006101,np006101,,np006101,effect_np006101,sound_np006101,,9,116,uni0061,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,23,0,0,61,0,0
27,np0111,np006201,np006201,,np006201,effect_np006201,sound_np006201,,9,129,uni0062,8,1,30,48,0,0,0,534,0,0,0,0,0,0,1204,1597,1,24,0,0,1,1,0
28,np0111,np006301,np006301,,np006301,effect_np006301,sound_np006301,,9,130,uni0063,8,2,27,49,0,0,0,535,0,0,0,0,0,0,1204,1598,1,25,0,0,1,1,0
29,np0111,np006401,np006401,,np006401,effect_np006401,sound_np006401,,9,116,uni0064,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,26,0,0,1,0,0
30,np0111,np006501,np006501,,np006501,effect_np006501,sound_np006501,se_np005001,9,116,uni0065,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,27,0,0,1,0,0
31,np0111,np006601,np006601,,np006601,effect_np006601,sound_np006601,,9,116,uni0066,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,28,0,0,1,0,0
27,np0111,np006201,np006201,,,,,,9,129,uni0067,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,24,0,0,1,1,0
40,np0111,pc281000,pc020000,,pc281000,effect_pc281000,sound_pc281000,,9,119,uni0071,1,2,29,11,0,0,0,505,0,0,0,0,0,0,0,1583,0,11,0,0,11,1,1
32,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0090,6,1,13,50,51,0,0,536,537,0,0,0,0,0,2203,1599,1,29,0,0,90,1,0
34,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0091,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,3,29,0,0,90,1,0
35,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0092,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,3,29,0,0,90,1,0
36,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0093,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,3,29,0,0,90,1,0
37,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0094,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,3,29,0,0,90,1,0
1,np0111,pc281000,pc020000,,,,,,9,119,uni0100,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,0,666,0,0,1,1,1
43,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0101,1,1,33,52,0,0,0,552,553,0,0,0,0,0,1106,1600,3,30,0,3,1,1,1
44,np0111,np211001,np211001,,np211001,effect_np211001,sound_np211001,se_np211001,7,115,uni0102,1,1,32,53,0,0,0,554,555,0,0,0,0,0,2303,1601,2,31,0,2,1,1,1
45,np0111,np011003,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0103,1,1,45,54,0,0,0,556,0,0,0,0,0,0,4103,1602,3,32,0,0,1,1,1
46,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0104,1,1,25,56,0,0,0,558,559,0,0,0,0,0,2108,1603,2,33,0,2,1,1,1
47,np0111,np211010,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0105,1,1,28,57,0,0,0,560,561,562,0,0,0,0,4205,1604,3,34,0,7,1,1,1
48,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0106,1,1,42,58,0,0,0,563,0,0,0,0,0,0,1308,1605,3,35,0,4,1,1,1
49,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0107,1,1,30,59,0,0,0,564,0,0,0,0,0,0,4101,1606,3,36,0,7,1,1,1
50,np0111,np211009,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0108,1,1,24,60,0,0,0,565,566,0,0,0,0,0,4205,1607,2,37,0,5,1,1,1
51,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0109,1,1,25,61,0,0,0,567,568,569,0,0,0,0,3102,1608,3,38,0,7,1,1,1
52,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0111,1,1,33,62,0,0,0,570,571,572,573,0,0,0,1307,1609,3,39,0,0,1,1,1
53,np0111,np211001,np211001,,np211001,effect_np211001,sound_np211001,se_np211001,7,117,uni0112,1,1,53,63,0,0,0,574,575,576,577,0,0,0,1107,1610,2,40,0,1,1,1,1
54,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0113,1,1,35,64,0,0,0,578,579,0,0,0,0,0,2105,1611,3,41,0,0,1,1,1
55,np0111,np211009,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0114,1,1,48,65,0,0,0,580,581,582,0,0,0,0,3206,1612,3,42,0,4,1,1,1
56,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0115,1,1,25,66,0,0,0,583,584,585,0,0,0,0,3206,1613,3,43,0,8,1,1,1
57,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0116,1,1,25,67,68,0,0,586,587,588,0,0,0,0,2104,1614,2,44,0,8,1,1,1
58,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0117,1,1,30,69,0,0,0,589,590,591,592,0,0,0,1307,1615,3,45,0,2,1,1,1
59,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0118,1,1,52,70,0,0,0,593,0,0,0,0,0,0,2101,1616,2,46,0,5,1,1,1
60,np0111,np211003,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0119,1,1,23,71,0,0,0,594,595,0,0,0,0,0,1106,1617,2,47,0,3,1,1,1
61,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0121,1,1,30,73,0,0,0,596,597,0,0,0,0,0,2208,1618,3,48,0,6,1,1,1
62,np0111,np011005,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0122,1,1,36,74,0,0,0,598,599,600,0,0,0,0,3206,1619,3,49,0,0,1,1,1
63,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0123,1,1,38,75,0,0,0,601,602,0,0,0,0,0,4004,1620,3,50,0,5,1,1,1
64,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0124,1,1,29,76,0,0,0,603,604,0,0,0,0,0,1203,1621,3,51,0,8,1,1,1
65,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0125,1,1,28,77,0,0,0,605,0,0,0,0,0,0,1107,1622,3,52,0,1,1,1,1
66,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0126,1,1,27,78,0,0,0,606,0,0,0,0,0,0,4007,1992,3,53,0,3,1,1,1
67,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0127,1,1,28,79,80,81,0,607,608,609,610,0,0,0,4204,1624,2,54,0,0,1,1,1
68,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0128,1,1,42,82,83,84,0,611,612,0,0,0,0,0,4204,1625,3,55,0,0,1,1,1
69,np0111,np211003,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0129,1,1,26,85,0,0,0,613,614,615,0,0,0,0,1107,1626,3,56,0,1,1,1,1
70,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0130,1,1,35,86,0,0,0,617,618,0,0,0,0,0,1203,1627,3,57,0,0,1,1,1
71,np0111,np011005,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0131,1,1,45,87,0,0,0,619,0,0,0,0,0,0,1102,1628,3,58,0,0,1,1,1
72,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0132,1,1,20,88,0,0,0,620,621,622,623,0,0,0,1307,1629,3,59,0,0,1,1,1
73,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0133,1,1,35,89,90,0,0,624,625,0,0,0,0,0,4204,1630,3,60,0,0,1,1,1
74,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0134,1,1,52,91,0,0,0,626,627,0,0,0,0,0,3105,1631,2,61,0,0,1,1,1
75,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0135,1,1,65535,92,0,0,0,628,629,0,0,0,0,0,3301,1632,3,62,0,0,1,1,1
76,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0136,1,1,24,93,0,0,0,630,631,632,0,0,0,0,3101,1633,3,63,0,7,1,1,1
77,np0111,np011005,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0137,1,1,38,94,0,0,0,633,634,0,0,0,0,0,1308,1634,3,64,0,0,1,1,1
78,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0138,1,1,40,95,0,0,0,635,636,0,0,0,0,0,2108,1635,3,65,0,2,1,1,1
79,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0139,1,1,36,96,0,0,0,637,0,0,0,0,0,0,4004,1636,2,66,0,5,1,1,1
80,np0111,np211005,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0140,1,1,29,97,0,0,0,638,639,0,0,0,0,0,4206,1637,2,67,0,1,1,1,1
57,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0141,1,1,65535,98,0,0,0,640,641,0,0,0,0,0,2104,1992,2,68,0,0,1,0,1
81,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0142,1,1,27,99,0,0,0,642,643,0,0,0,0,0,2106,1638,2,69,0,5,1,1,1
82,np0111,np211010,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0143,1,1,24,100,0,0,0,644,0,0,0,0,0,0,2106,1639,2,70,0,2,1,1,1
83,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0144,1,1,26,101,0,0,0,645,646,0,0,0,0,0,1102,1640,3,71,0,0,1,1,1
84,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0145,1,1,42,102,0,0,0,647,648,649,0,0,0,0,3304,1641,3,72,0,0,1,1,1
85,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0146,1,1,43,103,0,0,0,650,651,0,0,0,0,0,4102,1642,3,73,0,1,1,1,1
86,np0111,np211005,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0147,1,1,20,104,0,0,0,652,653,0,0,0,0,0,4102,1643,3,74,0,1,1,1,1
87,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0148,1,1,48,105,0,0,0,654,0,0,0,0,0,0,1306,1644,3,75,0,0,1,1,1
88,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0149,1,1,26,106,0,0,0,655,656,0,0,0,0,0,3201,1645,3,76,0,2,1,1,1
89,np0111,np211006,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0150,1,1,34,107,0,0,0,657,658,0,0,0,0,0,4102,1646,3,77,0,1,1,1,1
90,np0111,np211020,np211001,,np221000,effect_np221000,sound_np221000,se_np211001,7,116,uni0151,1,1,35,108,0,0,0,659,660,0,0,0,0,0,1301,1647,2,78,0,8,151,1,1
91,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0152,1,1,37,109,0,0,0,661,0,0,0,0,0,0,4007,1648,2,79,0,8,1,1,1
92,np0111,np011003,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0153,1,1,47,110,0,0,0,662,0,0,0,0,0,0,3307,1649,3,80,0,0,1,1,1
93,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0154,1,1,63,111,0,0,0,663,0,0,0,0,0,0,2205,1650,3,81,0,0,1,1,1
94,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0155,1,1,29,112,0,0,0,664,0,0,0,0,0,0,2107,1651,3,82,0,0,1,1,1
95,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0156,1,1,57,113,0,0,0,665,0,0,0,0,0,0,4003,1652,3,83,0,0,1,1,1
96,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0157,1,1,22,114,0,0,0,666,0,0,0,0,0,0,3207,1653,3,84,0,6,1,1,1
97,np0111,np211005,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0158,1,1,27,115,0,0,0,667,668,0,0,0,0,0,3207,1654,3,85,0,8,1,1,1
98,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0159,1,1,25,116,0,0,0,669,0,0,0,0,0,0,4001,1655,3,86,0,0,1,1,1
99,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0160,1,1,50,117,0,0,0,670,671,0,0,0,0,0,1102,1656,3,87,0,0,1,1,1
100,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0161,1,1,28,118,0,0,0,672,673,0,0,0,0,0,3304,1657,3,88,0,0,1,1,1
101,np0111,np211003,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0162,1,1,32,119,0,0,0,674,0,0,0,0,0,0,2205,1658,2,89,0,7,1,1,1
102,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0163,1,1,38,120,0,0,0,675,676,0,0,0,0,0,1301,1659,3,90,0,8,1,1,1
103,np0111,np211002,np011001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0164,1,1,24,121,0,0,0,677,0,0,0,0,0,0,2301,1660,3,91,0,3,1,1,1
104,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0165,1,1,50,122,0,0,0,678,679,0,0,0,0,0,3203,1661,3,92,0,6,1,1,1
105,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0166,1,1,78,123,0,0,0,680,681,0,0,0,0,0,3203,1662,3,93,0,6,1,1,1
106,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0167,1,1,22,124,0,0,0,682,0,0,0,0,0,0,4301,1663,3,94,0,5,1,1,1
107,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0168,1,1,28,125,0,0,0,683,684,0,0,0,0,0,4201,1664,3,95,0,0,1,1,1
108,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0169,1,1,28,126,0,0,0,685,686,0,0,0,0,0,2101,1665,3,96,0,0,1,1,1
109,np0111,np211008,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0170,1,1,30,127,0,0,0,687,688,0,0,0,0,0,3301,1666,3,97,0,5,1,1,1
110,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0171,1,1,39,128,0,0,0,689,690,0,0,0,0,0,3301,1667,3,98,0,2,1,1,1
111,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0172,1,1,45,129,0,0,0,691,0,0,0,0,0,0,4103,1668,3,99,0,3,1,1,1
113,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0173,11,1,65535,130,0,0,0,692,0,0,0,0,0,0,1302,1670,3,100,0,0,1,1,1
112,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0174,11,1,65535,131,0,0,0,693,0,0,0,0,0,0,1302,1669,3,101,0,0,1,1,1
114,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0175,1,1,45,132,0,0,0,694,0,0,0,0,0,0,4104,1594,3,102,0,0,1,1,1
115,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0176,1,1,26,133,0,0,0,695,696,0,0,0,0,0,4302,1595,3,103,0,2,1,1,1
116,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0177,1,1,33,134,0,0,0,697,0,0,0,0,0,0,1201,1596,3,104,0,2,1,1,1
117,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0178,1,1,26,135,0,0,0,698,0,0,0,0,0,0,1103,1706,3,105,0,0,1,1,1
118,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0179,1,1,52,136,0,0,0,699,700,0,0,0,0,0,4007,1707,2,106,0,0,1,1,1
119,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0180,1,1,65535,137,0,0,0,701,0,0,0,0,0,0,3209,1762,3,107,0,0,1,1,1
120,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0181,1,1,35,138,0,0,0,702,703,0,0,0,0,0,1202,1770,3,108,0,0,1,1,1
121,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0182,1,1,27,139,0,0,0,704,0,0,0,0,0,0,1103,1781,3,109,0,0,1,1,1
122,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0183,1,1,25,140,0,0,0,705,0,0,0,0,0,0,1103,1785,3,110,0,0,1,1,1
123,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0184,1,1,30,141,0,0,0,706,707,0,0,0,0,0,1202,1789,3,111,0,1,1,1,1
124,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0185,1,1,53,142,0,0,0,708,0,0,0,0,0,0,3003,1801,2,112,0,0,1,1,1
125,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0186,1,1,24,143,0,0,0,709,0,0,0,0,0,0,3210,1787,3,113,0,1,1,1,1
126,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0187,1,1,68,144,0,0,0,710,0,0,0,0,0,0,1304,1788,3,114,0,0,1,1,1
127,np0111,np211009,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0188,1,1,46,145,0,0,0,711,712,0,0,0,0,0,3210,1623,3,115,0,3,1,1,1
128,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0189,1,1,53,146,0,0,0,713,0,0,0,0,0,0,3003,1743,2,116,0,0,1,1,1
129,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0190,1,1,29,147,0,0,0,714,0,0,0,0,0,0,1301,1802,3,117,0,8,1,1,1
130,np0111,np211009,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0191,1,1,32,148,0,0,0,715,0,0,0,0,0,0,1002,1855,2,118,0,1,1,1,1
