<DBEA0DF4> {9},<40307D1F> {2},<F59B6FEA> {7},<23797629> {7},<9EF7C876> {7},<ECFF4F2A> {7},<307BCFCE> {7},<AFF227E1> {7},<7AA41279> {7},<955D6460> {7},<EC2C6223> {2},<12BBD4BC> {2},<539B57F0> {7},<499A9A38> {1},<55819099> {1},<2AC68551> {2},<84D11062> {2},<57EA9F2B> {2},<B9BE158A> {2},<8EBCAFB4> {2},<8E9859A8> {2},<BB4BCAD6> {2},<DACB4DF2> {2},<97F347AA> {2},<CE330BDB> {2},<94FDC57E> {2},<05349E2C> {2},<3CDE1626> {2},<41A318B6> {2},<F5ED412D> {1},<DBAF43F0> {2},<F7E1FAB8> {1},<49BB23FB> {1},<5E421975> {2},<F0375EE4> {1},<3E6D2243> {1}
<40CEE72E>,20,np0111,np002101,np002101,,np002101,effect_np002101,sound_np002101,,9,117,uni0021,1,1,48,21,0,0,0,523,0,0,0,0,0,0,1101,2019,1,20,0,0,21,1,0
<83282165>,21,np0111,np002201,np002201,,np002201,effect_np002201,sound_np002201,,9,116,uni0022,1,1,65,22,0,0,0,525,0,0,0,0,0,0,1101,2020,1,21,0,0,22,1,0
<3C0228FA>,22,np0111,np005001,np005001,,np005001,effect_np005001,sound_np005001,se_np005001,9,137,uni0023,13,1,65535,23,24,0,0,527,528,0,0,0,0,0,1102,1648,1,22,0,0,1,1,0
<4D593B5E>,23,np0111,pc181000,pc010000,,pc181000,effect_pc181000,sound_pc181000,,9,115,uni0024,1,1,57,25,0,0,0,529,0,0,0,0,0,0,1101,1628,1,1,0,0,4,1,1
<8F93F0A4>,24,np0111,pc283000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,118,uni0025,12,2,18,26,0,0,0,531,0,0,0,0,0,0,1101,1640,1,13,0,0,13,1,1
<0216E918>,25,np0111,pc288000,pc020000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0026,1,2,19,27,0,0,0,532,0,0,0,0,0,0,2101,1645,2,18,0,0,18,1,1
<8C7B56AC>,33,np0111,pc288000,pc020000,,pc282000,effect_pc282000,sound_pc282000,,9,118,uni0030,1,2,19,31,0,0,0,533,0,0,0,0,0,0,2101,1645,2,18,0,0,18,1,1
<68151ABB>,38,np0111,pc185000,pc010000,,pc185000,effect_pc185000,sound_pc185000,,9,115,uni0031,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,5,0,2,1,1,1
<980E4529>,39,np0111,pc183010,pc010000,,pc183000,effect_pc183000,sound_pc183000,,9,115,uni0032,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,3,0,1,3,1,1
<81CC64DD>,42,np0111,pc183001,pc010000,,,,,,9,115,uni0033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,3,0,1,3,1,1
<369F6E63>,41,np0111,pc185000,pc010000,,pc185000,effect_pc185000,sound_pc185000,,9,115,uni0034,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,5,0,2,1,1,1
<3B65B902>,24,np0111,pc283000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,118,uni0035,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,13,0,0,13,0,1
<DBCA8F65>,4,np0111,pc184000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0040,1,1,28,4,0,0,0,491,0,0,0,0,0,0,1000,1631,3,4,0,1,1,1,1
<5213118B>,6,np0111,pc186000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0041,1,1,30,6,0,0,0,495,0,0,0,0,0,0,2000,1633,3,6,0,2,1,1,1
<3DEE7816>,8,np0111,pc188000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0042,1,1,22,8,0,0,0,499,0,0,0,0,0,0,3000,1635,3,8,0,4,1,1,1
<1FBA65C6>,9,np0111,pc189000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,115,uni0043,1,1,54,9,0,0,0,501,0,0,0,0,0,0,2000,1636,3,9,0,3,1,1,1
<C70A5428>,10,np0111,pc190000,pc010000,,pc010000,effect_pc010000,sound_pc010000,,9,116,uni0044,1,1,24,10,0,0,0,503,0,0,0,0,0,0,2000,1637,3,10,0,6,1,1,1
<395534FA>,15,np0111,pc285000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,119,uni0045,1,2,26,15,0,0,0,513,0,0,0,0,0,0,3000,1642,3,15,0,5,1,1,1
<B1EBE062>,16,np0111,pc286000,pc020000,,pc020000,effect_pc020000,sound_pc020000,,9,118,uni0046,1,2,21,16,0,0,0,515,0,0,0,0,0,0,4000,1643,3,16,0,7,16,1,1
<8AC04717>,17,np0111,pc287000,pc020000,,pc283000,effect_pc283000,sound_pc283000,,9,120,uni0047,1,2,24,17,0,0,0,517,0,0,0,0,0,0,4000,1644,3,17,0,8,1,1,1
<F728AE00>,39,np0111,pc183010,pc010000,,pc183000,effect_pc183000,sound_pc183000,,9,115,uni0051,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,3,0,1,3,0,1
<962CEE4C>,23,np0111,pc181000,pc010000,,,,,,9,116,uni0052,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,1,0,0,4,1,1
<8F13FDD7>,26,np0111,np006101,np006101,,np006101,effect_np006101,sound_np006101,,9,116,uni0061,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,23,0,0,61,0,0
<26F49315>,27,np0111,np006201,np006201,,np006201,effect_np006201,sound_np006201,,9,129,uni0062,8,1,30,48,0,0,0,534,0,0,0,0,0,0,1204,1652,1,24,0,0,1,1,0
<3E26A218>,28,np0111,np006301,np006301,,np006301,effect_np006301,sound_np006301,,9,130,uni0063,8,2,27,49,0,0,0,535,0,0,0,0,0,0,1204,1653,1,25,0,0,1,1,0
<47F10032>,29,np0111,np006401,np006401,,np006401,effect_np006401,sound_np006401,,9,116,uni0064,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,26,0,0,1,0,0
<0CE499ED>,30,np0111,np006501,np006501,,np006501,effect_np006501,sound_np006501,se_np005001,9,116,uni0065,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,27,0,0,1,0,0
<F9947A55>,31,np0111,np006601,np006601,,np006601,effect_np006601,sound_np006601,,9,116,uni0066,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,28,0,0,1,0,0
<47CC3EAC>,27,np0111,np006201,np006201,,,,,,9,129,uni0067,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1,24,0,0,1,1,0
<FA4292CF>,40,np0111,pc281000,pc020000,,pc281000,effect_pc281000,sound_pc281000,,9,119,uni0071,1,2,29,11,0,0,0,505,0,0,0,0,0,0,0,1638,0,11,0,0,11,1,1
<F3FF9BAA>,32,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0090,6,1,13,50,51,0,0,536,537,0,0,0,0,0,2203,1654,1,29,0,0,90,1,0
<391BADA3>,34,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0091,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,3,29,0,0,90,1,0
<980A96CC>,35,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0092,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,3,29,0,0,90,1,0
<847960E2>,36,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0093,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,3,29,0,0,90,1,0
<77F5179A>,37,np0111,np009001,np081001,,np081001,effect_np081001,sound_np081001,se_np009001,9,138,uni0094,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,3,29,0,0,90,1,0
<57FA3F92>,1,np0111,pc281000,pc020000,,,,,,9,119,uni0100,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,666,0,0,1,1,1
<76F33424>,43,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0101,1,1,33,52,0,0,0,552,553,0,0,0,0,0,1106,1655,3,30,0,3,1,1,1
<574B3CD1>,44,np0111,np211001,np211001,,np211001,effect_np211001,sound_np211001,se_np211001,7,115,uni0102,1,1,32,53,0,0,0,554,555,0,0,0,0,0,2303,1656,2,31,0,2,1,1,1
<C660C1A6>,45,np0111,np011003,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0103,1,1,45,54,0,0,0,556,0,0,0,0,0,0,4103,1657,3,32,0,0,1,1,1
<E60695B2>,46,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0104,1,1,25,56,0,0,0,558,559,0,0,0,0,0,2108,1658,2,33,0,2,1,1,1
<BC96CE2C>,47,np0111,np211010,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0105,1,1,28,57,0,0,0,560,561,562,0,0,0,0,4205,1659,3,34,0,7,1,1,1
<173F57F7>,48,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0106,1,1,42,58,0,0,0,563,0,0,0,0,0,0,1308,1660,3,35,0,4,1,1,1
<12CE080B>,49,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0107,1,1,30,59,0,0,0,564,0,0,0,0,0,0,4101,1661,3,36,0,7,1,1,1
<28671A78>,50,np0111,np211009,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0108,1,1,24,60,0,0,0,565,566,0,0,0,0,0,4205,1662,2,37,0,5,1,1,1
<5D7BE3FC>,51,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0109,1,1,25,61,0,0,0,567,568,569,0,0,0,0,3102,1663,3,38,0,7,1,1,1
<08481A1E>,52,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0111,1,1,33,62,0,0,0,570,571,572,573,0,0,0,1307,1664,3,39,0,0,1,1,1
<C59DA7FA>,53,np0111,np211001,np211001,,np211001,effect_np211001,sound_np211001,se_np211001,7,117,uni0112,1,1,53,63,0,0,0,574,575,576,577,0,0,0,1107,1665,2,40,0,1,1,1,1
<D2EAA6B5>,54,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0113,1,1,35,64,0,0,0,578,579,0,0,0,0,0,2105,1666,3,41,0,0,1,1,1
<EF26E2B3>,55,np0111,np211009,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0114,1,1,48,65,0,0,0,580,581,582,0,0,0,0,3206,1667,3,42,0,4,1,1,1
<3E23E69F>,56,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0115,1,1,25,66,0,0,0,583,584,585,0,0,0,0,3206,1668,3,43,0,8,1,1,1
<A0E8109F>,57,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0116,1,1,25,67,68,0,0,586,587,588,0,0,0,0,2104,1669,2,44,0,8,1,1,1
<97DF9291>,58,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0117,1,1,30,69,0,0,0,589,590,591,592,0,0,0,1307,1670,3,45,0,2,1,1,1
<90EEC892>,59,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0118,1,1,52,70,0,0,0,593,0,0,0,0,0,0,2101,1671,2,46,0,5,1,1,1
<45BCF5B5>,60,np0111,np211003,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0119,1,1,23,71,0,0,0,594,595,0,0,0,0,0,1106,1672,2,47,0,3,1,1,1
<C7AE8B02>,61,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0121,1,1,30,73,0,0,0,596,597,0,0,0,0,0,2208,1673,3,48,0,6,1,1,1
<3A6DBD49>,62,np0111,np011005,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0122,1,1,36,74,0,0,0,598,599,600,0,0,0,0,3206,1674,3,49,0,0,1,1,1
<67096358>,63,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0123,1,1,38,75,0,0,0,601,602,0,0,0,0,0,4004,1675,3,50,0,5,1,1,1
<F9D3DAE8>,64,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0124,1,1,29,76,0,0,0,603,604,0,0,0,0,0,1203,1676,3,51,0,8,1,1,1
<1932956E>,65,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0125,1,1,28,77,0,0,0,605,0,0,0,0,0,0,1107,1677,3,52,0,1,1,1,1
<F26932EA>,66,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0126,1,1,27,78,0,0,0,606,0,0,0,0,0,0,4007,2028,3,53,0,3,1,1,1
<B2037805>,67,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0127,1,1,28,79,80,81,0,607,608,609,610,0,0,0,4204,1679,2,54,0,0,1,1,1
<621EF74A>,68,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0128,1,1,42,82,83,84,0,611,612,0,0,0,0,0,4204,1680,3,55,0,0,1,1,1
<29EE9217>,69,np0111,np211003,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0129,1,1,26,85,0,0,0,613,614,615,0,0,0,0,1107,1681,3,56,0,1,1,1,1
<B76A981B>,70,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0130,1,1,35,86,0,0,0,617,618,0,0,0,0,0,1203,1682,3,57,0,0,1,1,1
<F742AB59>,71,np0111,np011005,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0131,1,1,45,87,0,0,0,619,0,0,0,0,0,0,1102,1683,3,58,0,0,1,1,1
<83DEBCE0>,72,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0132,1,1,20,88,0,0,0,620,621,622,623,0,0,0,1307,1684,3,59,0,0,1,1,1
<A84BF7C7>,73,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0133,1,1,35,89,90,0,0,624,625,0,0,0,0,0,4204,1685,3,60,0,0,1,1,1
<AAED7940>,74,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0134,1,1,52,91,0,0,0,626,627,0,0,0,0,0,3105,1686,2,61,0,0,1,1,1
<847943F1>,75,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0135,1,1,65535,92,0,0,0,628,629,0,0,0,0,0,3301,1687,3,62,0,0,1,1,1
<89CE79EA>,76,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0136,1,1,24,93,0,0,0,630,631,632,0,0,0,0,3101,1688,3,63,0,7,1,1,1
<4F5F1622>,77,np0111,np011005,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0137,1,1,38,94,0,0,0,633,634,0,0,0,0,0,1308,1689,3,64,0,0,1,1,1
<A1EDCD2A>,78,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0138,1,1,40,95,0,0,0,635,636,0,0,0,0,0,2108,1690,3,65,0,2,1,1,1
<D436C145>,79,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0139,1,1,36,96,0,0,0,637,0,0,0,0,0,0,4004,1691,2,66,0,5,1,1,1
<E59CDD93>,80,np0111,np211005,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0140,1,1,29,97,0,0,0,638,639,0,0,0,0,0,4206,1692,2,67,0,1,1,1,1
<A705E637>,57,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0141,1,1,65535,98,0,0,0,640,641,0,0,0,0,0,2104,2028,2,68,0,0,1,0,1
<4C6C8B49>,81,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0142,1,1,27,99,0,0,0,642,643,0,0,0,0,0,2106,1693,2,69,0,5,1,1,1
<14945C43>,82,np0111,np211010,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0143,1,1,24,100,0,0,0,644,0,0,0,0,0,0,2106,1694,2,70,0,2,1,1,1
<9CBA1A15>,83,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0144,1,1,26,101,0,0,0,645,646,0,0,0,0,0,1102,1695,3,71,0,0,1,1,1
<BEF961BA>,84,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,117,uni0145,1,1,42,102,0,0,0,647,648,649,0,0,0,0,3304,1696,3,72,0,0,1,1,1
<5EBA5F20>,85,np0111,np211002,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0146,1,1,43,103,0,0,0,650,651,0,0,0,0,0,4102,1697,3,73,0,1,1,1,1
<AB7BC485>,86,np0111,np211005,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0147,1,1,20,104,0,0,0,652,653,0,0,0,0,0,4102,1698,3,74,0,1,1,1,1
<353A8E15>,87,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0148,1,1,48,105,0,0,0,654,0,0,0,0,0,0,1306,1699,3,75,0,0,1,1,1
<FBCB9AA7>,88,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0149,1,1,26,106,0,0,0,655,656,0,0,0,0,0,3201,1700,3,76,0,2,1,1,1
<F93EA7A2>,89,np0111,np211006,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0150,1,1,34,107,0,0,0,657,658,0,0,0,0,0,4102,1701,3,77,0,1,1,1,1
<D9C861B0>,90,np0111,np211020,np211001,,np221000,effect_np221000,sound_np221000,se_np211001,7,116,uni0151,1,1,35,108,0,0,0,659,660,0,0,0,0,0,1301,1702,2,78,0,8,151,1,1
<79DF9F90>,91,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0152,1,1,37,109,0,0,0,661,0,0,0,0,0,0,4007,1703,2,79,0,8,1,1,1
<8F4D2ED4>,92,np0111,np011003,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0153,1,1,47,110,0,0,0,662,0,0,0,0,0,0,3307,1704,3,80,0,0,1,1,1
<4567C770>,93,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0154,1,1,63,111,0,0,0,663,0,0,0,0,0,0,2205,1705,3,81,0,0,1,1,1
<4ADB5119>,94,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0155,1,1,29,112,0,0,0,664,0,0,0,0,0,0,2107,1706,3,82,0,0,1,1,1
<3B98D047>,95,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0156,1,1,57,113,0,0,0,665,0,0,0,0,0,0,4003,1707,3,83,0,0,1,1,1
<70A4BDF8>,96,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0157,1,1,22,114,0,0,0,666,0,0,0,0,0,0,3207,1708,3,84,0,6,1,1,1
<855CAA64>,97,np0111,np211005,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0158,1,1,27,115,0,0,0,667,668,0,0,0,0,0,3207,1709,3,85,0,8,1,1,1
<EEF2E21D>,98,np0111,np011002,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0159,1,1,25,116,0,0,0,669,0,0,0,0,0,0,4001,1710,3,86,0,0,1,1,1
<C0E8CA7E>,99,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0160,1,1,50,117,0,0,0,670,671,0,0,0,0,0,1102,1711,3,87,0,0,1,1,1
<6FF0321E>,100,np0111,np011004,np011001,,np011001,effect_np011001,sound_np011001,,9,116,uni0161,1,1,28,118,0,0,0,672,673,0,0,0,0,0,3304,1712,3,88,0,0,1,1,1
<F6C6E06E>,101,np0111,np211003,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0162,1,1,32,119,0,0,0,674,0,0,0,0,0,0,2205,1713,2,89,0,7,1,1,1
<2CCA26C6>,102,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0163,1,1,38,120,0,0,0,675,676,0,0,0,0,0,1301,1714,3,90,0,8,1,1,1
<16A3156B>,103,np0111,np211002,np011001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0164,1,1,24,121,0,0,0,677,0,0,0,0,0,0,2301,1715,3,91,0,3,1,1,1
<AE7976CA>,104,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,116,uni0165,1,1,50,122,0,0,0,678,679,0,0,0,0,0,3203,1716,3,92,0,6,1,1,1
<4FB04149>,105,np0111,np211001,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0166,1,1,78,123,0,0,0,680,681,0,0,0,0,0,3203,1717,3,93,0,6,1,1,1
<1EC772CB>,106,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,115,uni0167,1,1,22,124,0,0,0,682,0,0,0,0,0,0,4301,1718,3,94,0,5,1,1,1
<4EC26FB1>,107,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0168,1,1,28,125,0,0,0,683,684,0,0,0,0,0,4201,1719,3,95,0,0,1,1,1
<9AA4B117>,108,np0111,np011001,np011001,,np011001,effect_np011001,sound_np011001,,9,115,uni0169,1,1,28,126,0,0,0,685,686,0,0,0,0,0,2101,1720,3,96,0,0,1,1,1
<24F27DC0>,109,np0111,np211008,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0170,1,1,30,127,0,0,0,687,688,0,0,0,0,0,3301,1721,3,97,0,5,1,1,1
<C64FC4F0>,110,np0111,np211004,np211001,,np211000,effect_np211000,sound_np211000,se_np211001,7,117,uni0171,1,1,39,128,0,0,0,689,690,0,0,0,0,0,3301,1722,3,98,0,2,1,1,1
