Name {2},RBodyRscID {2},LBodyRscID {2},RscBullet {2},RscEff {7},RscSe {7},TypeRange {1},TypeWpn {1},TypeWpn2 {1},Damage {3},Stability {1},Atr {1},Magazine {1},DMRatio {2},Recast {2},RateBonus {4},DexBonus {4},MakerID {1},MakerLv {1},Rare {1},EquLv {1},GneLv {1},Affix[0] {2},Affix[1] {2},Affix[2] {2},AffixCount {1},SlotNum {1},Price {2},ItemInfo [NoSell] {1},Hanger [SideR] {1},Hanger [BackR] {1},Hanger [BackL] {1},Hanger [SideL] {1},Flag {1},HoldType {1},UseType {1},ArtsID {2},UI {2},UI2 {2}
58,659,666,0,034801,034801,1,2,2,100,10,2,8,0,90,0,0,5,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,58,0,959
59,673,680,0,034501,034501,1,2,2,100,10,2,1,0,90,0,0,5,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,59,0,960
60,687,694,0,035001,035001,2,2,2,800,10,2,0,0,1350,0,0,5,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,60,0,961
61,701,708,0,035201,035201,1,2,2,100,10,2,1,0,90,0,0,5,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,61,0,962
62,715,722,16,035301,035301,1,2,2,100,10,2,4,0,90,0,0,5,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,63,0,963
63,729,736,0,034301,034301,1,2,2,100,10,2,16,0,90,0,0,4,10,20,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,64,0,964
64,743,750,0,033101,033101,1,1,4,300,10,2,10,0,600,0,0,7,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,65,0,965
65,757,764,0,032101,032101,1,1,4,700,10,1,1,0,600,0,0,7,10,10,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66,0,966
66,771,778,0,032301,032301,1,1,4,100,10,2,1,0,90,0,0,7,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,67,0,967
67,785,792,0,033701,033701,1,1,4,100,10,2,1,0,90,0,0,7,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,68,0,968
68,799,806,0,033201,033201,1,2,4,100,10,2,1,0,90,0,0,7,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,69,0,969
69,813,820,0,032801,032801,1,1,4,180,10,2,6,0,600,0,0,1,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,71,0,970
70,827,834,0,032805,032805,1,1,4,100,10,2,6,0,600,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,72,0,971
71,841,848,0,033601,033601,1,1,4,100,10,2,1,0,90,0,0,2,10,110,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,73,0,972
72,855,862,0,033301,033301,1,1,4,100,10,2,1,0,90,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,74,0,973
73,869,876,0,032401,032401,1,1,4,100,10,2,1,0,90,0,0,1,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,75,0,974
74,883,890,0,032201,032201,1,1,4,100,10,2,1,0,90,0,0,1,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,76,0,975
75,897,0,3,033001,033001,1,1,4,100,10,2,1,0,90,0,0,1,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,77,0,976
76,904,0,4,033005,033005,1,1,4,100,10,2,1,0,90,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,78,0,977
77,911,0,0,032701,032701,1,1,4,100,10,2,1,0,90,0,0,2,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,79,0,978
78,918,0,0,032601,032601,1,1,4,100,10,2,1,0,90,0,0,1,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,80,0,979
79,925,0,0,032605,032605,1,1,4,100,10,2,1,0,90,0,0,2,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,81,0,980
80,932,0,0,032609,032609,1,1,4,100,10,2,1,0,90,0,0,3,10,90,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,88,0,981
81,939,946,0,042201,042201,2,3,6,100,10,0,0,0,900,0,0,1,10,110,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,94,0,982
82,953,960,0,042301,042301,2,3,6,100,10,0,0,0,90,0,0,1,10,120,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,983
83,967,974,0,042101,042101,1,3,6,160,10,1,5,0,450,0,0,8,10,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,106,0,984
84,981,988,0,042401,042401,1,3,6,100,10,2,5,0,90,0,0,1,10,10,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,107,0,985
85,995,1002,0,020301,020301,2,5,7,500,10,2,0,0,600,0,0,1,10,90,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,108,0,986
87,1009,1016,0,021101,021101,2,5,7,500,10,5,0,0,600,0,0,2,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,110,0,988
88,1023,1030,0,021201,021201,2,5,7,500,10,2,0,0,600,0,0,3,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,111,0,989
89,1037,1044,0,021301,021301,2,5,7,500,10,2,0,0,600,0,0,5,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,112,0,990
90,1051,1058,0,021401,021401,2,5,7,500,10,2,0,0,600,0,0,6,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,113,0,991
91,1065,1072,0,021501,021501,2,5,7,500,10,2,0,0,600,0,0,8,10,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,114,0,992
92,1079,1086,28,021601,021601,1,5,7,500,10,0,1,0,300,0,0,1,1,1,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,115,0,992
93,1093,1100,29,021701,021701,1,5,7,500,10,0,1,0,300,0,0,2,1,1,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,116,0,992
94,1107,1114,30,021801,021801,1,5,7,500,10,0,1,0,300,0,0,3,1,1,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,117,0,992
95,1121,1123,0,300101,300101,0,1,4,1000,10,2,1,0,60,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,118,0,996
96,1125,0,0,300201,300201,0,1,5,1000,10,1,0,0,60,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,119,0,997
97,1127,1129,24,300301,300301,0,2,2,1000,10,1,1,0,60,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,120,0,998
98,1131,1133,0,300401,300401,0,2,2,1000,10,4,5,0,60,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,121,0,999
99,1135,1137,0,300501,300501,0,1,4,1000,10,2,1,0,60,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,122,0,1000
100,1139,0,0,300601,300601,0,2,3,1000,10,5,2,0,60,0,0,9,1,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,123,0,1001
101,1141,1143,0,300701,300701,0,2,2,1000,10,1,3,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,124,0,1002
102,1145,1149,0,300801,300801,0,1,4,1000,10,3,1,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,125,0,1003
103,1153,1157,0,300901,300901,0,1,4,1000,10,2,1,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,126,0,1004
104,1161,1164,0,301001,301001,0,2,2,1000,10,1,1,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,127,0,1005
105,1167,1171,0,301101,301101,0,2,2,1000,10,0,6,0,30,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,128,0,1006
106,1175,1179,0,301201,301201,0,2,2,1000,10,4,3,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,129,0,1007
107,1183,0,0,301301,301301,0,2,2,1000,10,4,0,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,130,0,1008
108,1184,0,0,301401,301401,0,2,2,1000,10,6,0,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,131,0,1009
109,1185,0,0,301501,301501,0,1,5,1000,10,4,1,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,132,0,1010
110,1186,0,0,301601,301601,0,1,5,1000,10,1,0,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,133,0,1011
111,1187,0,0,301701,301701,0,2,2,1000,10,4,1,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,134,0,1012
112,1188,0,0,301801,301801,0,2,2,1000,10,2,1,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,135,0,1013
113,1189,0,0,301901,301901,0,1,5,1000,10,1,0,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,136,0,1014
114,1190,0,0,302301,302301,0,2,2,1000,10,1,0,0,600,0,0,9,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,137,0,1015
115,1191,0,0,200101,200101,0,1,8,10000,25,2,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,1,1,1,0,0,0,138,0,1016
116,1198,0,0,200201,200201,0,1,8,10000,25,1,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,139,0,1017
117,1205,0,0,200301,200301,0,1,8,10000,25,1,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,140,0,1018
118,1212,0,0,200401,200401,0,1,8,10000,25,3,1,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,141,0,1019
119,1219,0,0,200501,200501,0,2,8,10000,25,0,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,142,0,1020
120,1226,0,0,200601,200601,0,2,8,10000,25,5,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,143,0,1021
121,1233,0,0,200701,200701,0,1,8,10000,25,7,1,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,144,0,1022
122,1240,0,0,200801,200801,0,1,8,10000,25,1,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,145,0,1023
123,1247,0,0,200901,200901,0,1,8,10000,25,2,1,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,1,1,1,0,0,0,146,0,1024
124,1254,0,0,201001,201001,0,1,8,10000,25,1,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,147,0,1025
125,1261,0,0,201101,201101,0,2,8,10000,25,1,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,148,0,1026
126,1268,0,0,201201,201201,0,2,8,10000,25,2,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,149,0,1027
127,1275,0,0,201301,201301,0,1,8,10000,25,4,0,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,150,0,1028
128,1282,0,0,201401,201401,0,2,8,10000,25,4,1,0,600,0,0,1,1,0,1,0,0,0,0,0,0,100,0,1,0,0,1,0,0,0,151,0,1029
129,1289,1289,0,060101,060101,0,2,2,10000,10,1,0,0,60,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,152,0,1030
130,1292,1292,0,060201,060201,0,1,4,10000,10,3,0,0,60,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,153,0,1031
131,1295,1295,0,060301,060301,0,1,4,10000,10,4,1,0,60,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,155,0,1032
132,1298,1298,0,060401,060401,0,2,2,10000,10,3,0,0,60,0,0,1,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,156,0,1033
1645,1192,0,0,200101,200101,1,1,5,25000,15,2,0,0,3600,0,0,1,1,5,20,0,2684,2038,3024,5,3,7200,0,1,1,1,1,0,0,0,138,0,1016
134,29,36,0,022301,022301,2,4,1,330,5,1,0,50,80,0,0,1,1,1,20,0,566,0,0,3,1,102,0,0,0,0,0,1,7,17,3,1049,904
135,33,40,0,022301,022301,2,4,1,440,5,1,0,50,80,0,0,1,1,1,30,0,567,0,0,3,1,204,0,0,0,0,0,1,7,17,3,1049,904
136,31,38,0,022301,022301,2,4,1,550,5,1,0,50,80,0,0,1,1,1,50,0,568,0,0,3,1,409,0,0,0,0,0,1,7,17,3,1049,904
137,34,41,0,022301,022301,2,4,1,660,5,1,0,50,80,0,0,1,1,1,50,0,569,0,0,3,1,819,0,0,0,0,0,1,7,17,3,1049,904
138,32,39,0,022301,022301,2,4,1,770,5,1,0,50,80,0,0,1,1,1,50,0,570,0,0,3,1,1638,0,0,0,0,0,1,7,17,3,1049,904
134,29,36,0,022301,022301,2,4,1,330,5,1,0,50,80,0,0,1,4,1,20,0,566,606,0,3,1,102,0,0,0,0,0,1,7,17,3,1049,904
135,33,40,0,022301,022301,2,4,1,440,5,1,0,50,80,0,0,1,4,1,30,0,567,607,0,3,1,204,0,0,0,0,0,1,7,17,3,1049,904
136,31,38,0,022301,022301,2,4,1,550,5,1,0,50,80,0,0,1,4,1,50,0,568,608,0,3,1,409,0,0,0,0,0,1,7,17,3,1049,904
137,34,41,0,022301,022301,2,4,1,660,5,1,0,50,80,0,0,1,4,1,50,0,569,609,0,3,1,819,0,0,0,0,0,1,7,17,3,1049,904
138,32,39,0,022301,022301,2,4,1,770,5,1,0,50,80,0,0,1,4,1,50,0,570,610,0,3,1,1638,0,0,0,0,0,1,7,17,3,1049,904
134,29,36,0,022301,022301,2,4,1,330,5,1,0,50,80,0,0,1,5,1,20,0,566,606,678,3,1,102,0,0,0,0,0,1,7,17,3,1049,904
135,33,40,0,022301,022301,2,4,1,440,5,1,0,50,80,0,0,1,5,1,30,0,567,607,679,3,1,204,0,0,0,0,0,1,7,17,3,1049,904
136,31,38,0,022301,022301,2,4,1,550,5,1,0,50,80,0,0,1,5,1,50,0,568,608,680,3,1,409,0,0,0,0,0,1,7,17,3,1049,904
137,34,41,0,022301,022301,2,4,1,660,5,1,0,50,80,0,0,1,5,1,50,0,569,609,681,3,1,819,0,0,0,0,0,1,7,17,3,1049,904
138,32,39,0,022301,022301,2,4,1,770,5,1,0,50,80,0,0,1,5,1,50,0,570,610,682,3,1,1638,0,0,0,0,0,1,7,17,3,1049,904
139,29,36,0,022301,022301,2,4,1,330,5,1,0,50,80,0,0,1,1,1,20,0,0,0,0,3,0,102,0,0,0,0,0,1,7,17,3,1049,904
140,33,40,0,022301,022301,2,4,1,440,5,1,0,50,80,0,0,1,1,1,30,0,0,0,0,3,0,204,0,0,0,0,0,1,7,17,3,1049,904
141,31,38,0,022301,022301,2,4,1,550,5,1,0,50,80,0,0,1,1,1,50,0,0,0,0,3,0,409,0,0,0,0,0,1,7,17,3,1049,904
142,34,41,0,022301,022301,2,4,1,660,5,1,0,50,80,0,0,1,1,1,50,0,0,0,0,3,0,819,0,0,0,0,0,1,7,17,3,1049,904
143,35,42,0,022301,022301,2,4,1,770,5,1,0,50,80,0,0,1,1,1,50,0,0,0,0,3,0,1638,0,0,0,0,0,1,7,17,3,1049,904
144,29,36,0,022301,022301,2,4,1,594,5,1,0,50,64,0,0,1,1,5,20,0,0,0,0,5,1,102,0,0,0,0,0,1,7,17,3,1049,904
145,33,40,0,022301,022301,2,4,1,792,5,1,0,50,64,0,0,1,1,5,30,0,0,0,0,5,1,204,0,0,0,0,0,1,7,17,3,1049,904
146,32,39,0,022301,022301,2,4,1,990,5,1,0,50,64,0,0,1,1,5,50,0,0,0,0,5,2,409,0,0,0,0,0,1,7,17,3,1049,904
147,34,41,0,022301,022301,2,4,1,1188,5,1,0,50,64,0,0,1,1,5,50,0,0,0,0,5,2,819,0,0,0,0,0,1,7,17,3,1049,904
148,30,37,0,022301,022301,2,4,1,1386,5,1,0,50,64,0,0,1,1,5,50,0,0,0,0,5,2,1638,0,0,0,0,0,1,7,17,3,1049,904
150,1,8,0,022101,022101,2,4,1,540,8,1,0,58,120,0,0,1,1,1,20,0,566,0,0,3,1,179,0,0,0,0,0,1,7,17,1,1047,902
151,4,11,0,022101,022101,2,4,1,720,8,1,0,58,120,0,0,1,1,1,30,0,567,0,0,3,1,358,0,0,0,0,0,1,7,17,1,1047,902
152,5,12,0,022101,022101,2,4,1,900,8,1,0,58,120,0,0,1,1,1,50,0,568,0,0,3,1,716,0,0,0,0,0,1,7,17,1,1047,902
153,2,9,0,022101,022101,2,4,1,1080,8,1,0,58,120,0,0,1,1,1,50,0,569,0,0,3,1,1433,0,0,0,0,0,1,7,17,1,1047,902
154,6,13,0,022101,022101,2,4,1,1260,8,1,0,58,120,0,0,1,1,1,50,0,570,0,0,3,1,2867,0,0,0,0,0,1,7,17,1,1047,902
