Name {2},Caption {2},Price {2},category {1},itemID {2},miraniumu {3},material_0 {2},material_1 {2},material_2 {2},material_3 {2},material_4 {2},material_5 {2},mct_0 {1},mct_1 {1},mct_2 {1},mct_3 {1},mct_4 {1},mct_5 {1},rareReID {1},rareReCnt {1},UI2 {2},NoDLC {2}
9,87,0,7,3212,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
10,88,0,7,3213,1000,649,648,388,446,697,0,1,1,3,5,5,0,10,1,2749,0
11,89,0,7,3214,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
12,90,0,7,3215,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
13,91,0,7,3216,1000,649,648,388,446,697,0,1,1,3,5,5,0,10,1,2749,0
14,92,0,7,3217,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
15,93,0,7,3218,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
16,94,0,7,3219,1000,649,648,388,446,697,0,1,1,3,5,5,0,14,1,2749,0
17,95,0,7,3220,1000,649,648,388,446,697,0,1,1,3,5,5,0,15,1,2749,0
18,96,0,6,3221,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
19,97,0,6,3222,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
20,98,0,6,3223,1000,650,648,386,699,372,0,1,1,3,5,5,0,10,1,2749,0
21,99,0,6,3224,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
22,100,0,6,3225,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
23,101,0,6,3226,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
24,102,0,6,3227,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
25,103,0,6,3228,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
26,104,0,6,3229,1000,650,648,386,699,372,0,1,1,3,5,5,0,10,1,2749,0
27,105,0,6,3230,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
28,106,0,6,3231,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
29,107,0,6,3232,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
30,108,0,6,3233,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
31,109,0,6,3234,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
32,110,0,6,3235,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
33,111,0,6,3236,1000,650,648,386,699,372,0,1,1,3,5,5,0,10,1,2749,0
34,112,0,6,3237,1000,650,648,386,699,372,0,1,1,3,5,5,0,14,1,2749,0
35,113,0,6,3238,1000,650,648,386,699,372,0,1,1,3,5,5,0,15,1,2749,0
72,150,0,0,3276,1000,391,332,276,630,0,0,10,3,5,5,0,0,4,1,2749,0
73,151,0,0,3277,1000,391,332,276,630,0,0,10,3,5,5,0,0,12,1,2749,0
74,152,0,0,3278,1000,391,332,276,630,0,0,10,3,5,5,0,0,5,1,2749,0
75,153,0,0,3279,1000,391,332,276,630,0,0,10,3,5,5,0,0,9,1,2749,0
76,154,0,0,3280,1000,391,332,276,630,0,0,10,3,5,5,0,0,13,1,2749,0
77,155,0,0,3281,1000,391,332,276,630,0,0,10,3,5,5,0,0,6,1,2749,0
157,193,0,2,3399,1000,276,377,367,300,303,0,5,10,10,20,20,0,3,1,2750,0
158,194,0,3,3400,1000,276,377,367,300,303,0,5,10,10,20,20,0,3,1,2750,0
159,195,0,4,3401,1000,276,377,367,300,303,0,5,10,10,20,20,0,3,1,2750,0
160,196,0,5,3402,1000,276,377,367,300,303,0,5,10,10,20,20,0,3,1,2750,0
161,197,0,2,3403,1000,655,391,271,387,0,0,1,10,1,5,0,0,11,1,2750,0
162,198,0,2,3404,1000,655,391,271,387,0,0,1,10,1,5,0,0,11,1,2750,0
163,199,0,1,3405,1000,332,276,562,556,0,0,5,10,20,20,0,0,11,1,2750,0
164,200,0,1,3406,1000,655,391,271,631,0,0,1,10,1,5,0,0,11,1,2750,0
165,201,0,1,3407,1000,751,655,391,650,604,303,1,2,30,2,7,10,11,1,2750,0
166,202,0,2,3408,1000,751,655,391,650,604,303,1,2,30,2,7,10,8,1,2750,0
167,203,0,3,3409,1000,751,655,391,650,604,303,1,2,30,2,7,10,8,1,2750,0
168,204,0,4,3410,1000,751,655,391,650,604,303,1,2,30,2,7,10,8,1,2750,0
169,205,0,5,3411,1000,751,655,391,650,604,303,1,2,30,2,7,10,8,1,2750,0
170,207,0,2,3533,7777,751,655,391,650,604,303,3,5,75,5,15,20,6,1,2750,0
171,208,0,3,3534,7777,751,655,391,650,604,303,3,5,75,5,15,20,6,1,2750,0
172,209,0,4,3535,7777,751,655,391,650,604,303,3,5,75,5,15,20,6,1,2750,0
173,206,0,1,3412,1000,275,361,292,0,0,0,5,10,10,0,0,0,12,1,2750,0
174,210,0,2,3413,1000,275,361,292,0,0,0,5,10,10,0,0,0,12,1,2750,0
175,211,0,3,3414,1000,275,361,292,0,0,0,5,10,10,0,0,0,12,1,2750,0
176,212,0,4,3415,1000,275,361,292,0,0,0,5,10,10,0,0,0,12,1,2750,0
177,213,0,5,3416,1000,275,361,292,0,0,0,5,10,10,0,0,0,12,1,2750,0
178,214,0,1,3417,1000,331,275,502,0,0,0,5,10,10,0,0,0,9,1,2750,0
179,215,0,2,3418,1000,331,275,502,0,0,0,5,10,10,0,0,0,9,1,2750,0
180,216,0,3,3419,1000,331,275,502,0,0,0,5,10,10,0,0,0,9,1,2750,0
181,217,0,4,3420,1000,331,275,502,0,0,0,5,10,10,0,0,0,9,1,2750,0
182,218,0,5,3421,1000,331,275,502,0,0,0,5,10,10,0,0,0,9,1,2750,0
183,219,0,1,3422,1000,654,390,649,389,0,0,1,10,1,5,0,0,13,1,2750,0
184,220,0,2,3423,1000,654,390,649,389,0,0,1,10,1,5,0,0,13,1,2750,0
185,221,0,3,3424,1000,654,390,649,389,0,0,1,10,1,5,0,0,13,1,2750,0
186,222,0,4,3425,1000,654,390,649,389,0,0,1,10,1,5,0,0,13,1,2750,0
187,223,0,5,3426,1000,654,390,649,389,0,0,1,10,1,5,0,0,13,1,2750,0
188,224,0,1,3427,1000,750,654,390,649,389,609,1,2,30,2,5,7,6,1,2750,0
189,225,0,2,3428,1000,750,654,390,649,389,609,1,2,30,2,5,7,6,1,2750,0
190,226,0,3,3429,1000,750,654,390,649,389,609,1,2,30,2,5,7,6,1,2750,0
191,227,0,4,3430,1000,750,654,390,649,389,609,1,2,30,2,5,7,6,1,2750,0
192,228,0,5,3431,1000,750,654,390,649,389,609,1,2,30,2,5,7,6,1,2750,0
229,271,0,15,2629,10000,323,265,582,280,0,0,2,2,3,6,0,0,2,2,2751,0
230,272,0,15,2630,20000,322,265,582,280,0,0,6,6,12,24,0,0,7,2,2751,0
231,273,0,15,2631,30000,320,265,582,280,0,0,12,12,24,36,0,0,5,2,2751,0
232,274,0,15,2632,10000,323,265,582,415,0,0,2,2,3,6,0,0,2,2,2751,0
233,275,0,15,2633,20000,322,265,582,415,0,0,6,6,12,24,0,0,7,2,2751,0
234,276,0,15,2634,30000,320,265,582,415,0,0,12,12,24,36,0,0,5,2,2751,0
235,277,0,15,2635,10000,323,265,582,280,0,0,2,2,3,6,0,0,2,2,2751,0
236,278,0,15,2636,20000,322,265,582,280,0,0,6,6,12,24,0,0,7,2,2751,0
237,279,0,15,2637,30000,320,265,582,280,0,0,12,12,24,36,0,0,5,2,2751,0
238,280,0,15,2638,10000,323,265,582,415,0,0,3,3,4,9,0,0,2,2,2751,0
239,281,0,15,2639,20000,322,265,582,415,0,0,8,8,12,24,0,0,7,2,2751,0
240,282,0,15,2640,30000,320,265,582,415,0,0,16,16,24,48,0,0,5,2,2751,0
241,283,0,16,2641,10000,323,265,582,280,0,0,2,2,3,6,0,0,2,2,2751,0
242,284,0,16,2642,20000,322,265,582,280,0,0,6,6,12,24,0,0,7,2,2751,0
243,285,0,16,2643,30000,320,265,582,280,0,0,12,12,24,36,0,0,5,2,2751,0
244,286,0,16,2644,10000,323,265,582,415,0,0,2,2,3,6,0,0,2,2,2751,0
245,287,0,16,2645,20000,322,265,582,415,0,0,6,6,12,24,0,0,7,2,2751,0
246,288,0,16,2646,30000,320,265,582,415,0,0,12,12,24,36,0,0,5,2,2751,0
247,289,0,15,2647,10000,323,267,381,278,0,0,2,2,3,6,0,0,2,2,2751,0
248,290,0,15,2648,20000,322,267,381,278,0,0,6,6,12,24,0,0,7,2,2751,0
249,291,0,15,2649,30000,320,267,381,278,0,0,12,12,24,36,0,0,5,2,2751,0
250,292,0,15,2650,10000,323,267,381,421,0,0,2,2,3,6,0,0,2,2,2751,0
251,293,0,15,2651,20000,322,267,381,421,0,0,6,6,12,24,0,0,7,2,2751,0
252,294,0,15,2652,30000,320,267,381,421,0,0,12,12,24,36,0,0,5,2,2751,0
253,295,0,15,2653,10000,323,267,381,278,0,0,2,2,3,6,0,0,2,2,2751,0
254,296,0,15,2654,20000,322,267,381,278,0,0,6,6,12,24,0,0,7,2,2751,0
255,297,0,15,2655,30000,320,267,381,278,0,0,12,12,24,36,0,0,5,2,2751,0
256,298,0,15,2656,10000,323,267,381,421,0,0,2,2,3,6,0,0,2,2,2751,0
257,299,0,15,2657,20000,322,267,381,421,0,0,6,6,12,24,0,0,7,2,2751,0
258,300,0,15,2658,30000,320,267,381,421,0,0,12,12,24,36,0,0,5,2,2751,0
259,301,0,16,2659,10000,323,267,381,278,0,0,2,2,3,6,0,0,2,2,2751,0
260,302,0,16,2660,20000,322,267,381,278,0,0,6,6,12,24,0,0,7,2,2751,0
261,303,0,16,2661,30000,320,267,381,278,0,0,12,12,24,36,0,0,5,2,2751,0
262,304,0,16,2662,10000,323,267,381,421,0,0,2,2,3,6,0,0,2,2,2751,0
263,305,0,16,2663,20000,322,267,381,421,0,0,6,6,12,24,0,0,7,2,2751,0
264,306,0,16,2664,30000,320,267,381,421,0,0,12,12,24,36,0,0,5,2,2751,0
265,307,0,15,2665,10000,323,267,381,278,0,0,3,3,4,9,0,0,2,2,2751,0
266,308,0,15,2666,20000,322,267,381,278,0,0,8,8,12,24,0,0,7,2,2751,0
267,309,0,15,2667,30000,320,267,381,278,0,0,16,16,24,48,0,0,5,2,2751,0
268,310,0,16,2668,10000,323,267,381,421,0,0,3,3,4,9,0,0,2,2,2751,0
269,311,0,16,2669,20000,322,267,381,421,0,0,8,8,12,24,0,0,7,2,2751,0
270,312,0,16,2670,30000,320,267,381,421,0,0,16,16,24,48,0,0,5,2,2751,0
313,333,0,0,91,10000,645,647,732,587,580,589,1,2,2,4,4,8,11,2,2753,0
314,334,0,9,92,10000,644,647,732,587,581,589,5,3,4,10,8,12,13,2,2753,0
315,335,0,0,118,10000,645,647,733,587,580,589,2,4,1,6,4,4,11,2,2753,0
316,336,0,9,119,10000,644,647,733,587,581,589,8,6,6,6,4,12,13,2,2753,0
317,337,0,0,152,10000,645,647,734,587,580,589,8,4,4,2,1,2,11,2,2753,0
318,338,0,9,153,10000,644,647,734,587,581,589,10,4,8,6,12,2,13,2,2753,0
319,339,0,0,186,10000,645,647,735,587,580,589,4,4,2,2,1,8,11,2,2753,0
320,340,0,9,187,10000,644,647,735,587,581,589,6,4,12,2,8,10,13,2,2753,0
321,341,0,0,220,10000,645,647,732,587,580,589,5,2,1,3,6,4,11,2,2753,0
322,342,0,9,221,10000,644,647,732,587,581,589,12,2,8,6,6,8,13,2,2753,0
323,343,0,0,251,10000,645,647,733,587,580,589,1,2,5,8,3,2,11,2,2753,0
324,344,0,9,252,10000,644,647,733,587,581,589,4,2,6,10,12,12,13,2,2753,0
325,345,0,0,282,10000,645,647,734,587,580,589,4,4,3,4,3,3,11,2,2753,0
326,346,0,9,283,10000,644,647,734,587,581,589,6,4,12,4,8,8,13,2,2753,0
327,347,0,0,284,10000,264,647,735,586,588,311,2,4,4,2,3,4,3,2,2753,0
328,348,0,9,285,50000,320,647,735,586,588,311,4,6,8,4,6,8,8,2,2753,0
329,349,0,9,286,100000,750,643,647,586,588,311,2,4,12,8,12,16,12,2,2753,0
331,351,0,9,289,10000,699,570,334,0,0,0,1,1,1,0,0,0,4,2,2753,1
330,350,0,9,287,10000,393,396,284,0,0,0,1,1,1,0,0,0,9,2,2753,2
332,352,0,9,288,10000,586,625,283,0,0,0,1,1,1,0,0,0,13,2,2753,4
78,156,0,6,3193,10000,424,664,282,0,0,0,1,1,1,0,0,0,8,1,2749,3
