Resource {7},Motion {7},MtpInChara {7},MtpInWpn {7},MtpOutChara {7},MtpOutWpn {7},Cartridge {1}
wd/wd022201r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0222011r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0222012r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0222013r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0222014r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0222015r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0222016r,wd/wd022201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd022201l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0222011l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0222012l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0222013l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0222014l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0222015l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0222016l,wd/wd022201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd022801r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0228011r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0228012r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0228013r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0228014r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0228015r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0228016r,wd/wd022801r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd022801l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0228011l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0228012l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0228013l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0228014l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0228015l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0228016l,wd/wd022801l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd023101r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0231011r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0231012r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0231013r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0231014r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0231015r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0231016r,wd/wd023101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd023101l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0231011l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0231012l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0231013l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0231014l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0231015l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0231016l,wd/wd023101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd022401r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0224011r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0224012r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0224013r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0224014r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0224015r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0224016r,wd/wd022401r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd022401l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0224011l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0224012l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0224013l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0224014l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0224015l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0224016l,wd/wd022401l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd022701r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0227011r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0227012r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0227013r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0227014r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0227015r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0227016r,wd/wd022701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd022701l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0227011l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0227012l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0227013l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0227014l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0227015l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0227016l,wd/wd022701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd012701r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0127011r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0127012r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0127013r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0127014r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0127015r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0127016r,wd/wd012701r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd012701l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0127011l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0127012l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0127013l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0127014l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0127015l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0127016l,wd/wd012701l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd013101r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0131011r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0131012r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0131013r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0131014r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0131015r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0131016r,wd/wd013101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd013101l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0131011l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0131012l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0131013l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0131014l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0131015l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0131016l,wd/wd013101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd013201r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0132011r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0132012r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0132013r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0132014r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0132015r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0132016r,wd/wd013201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd013201l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0132011l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0132012l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0132013l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0132014l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0132015l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0132016l,wd/wd013201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd012101r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121011r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121012r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121013r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121014r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121015r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121016r,wd/wd012101r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd012101l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121011l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121012l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121013l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121014l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121015l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121016l,wd/wd012101l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd012107r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121071r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121072r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121073r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121074r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121075r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0121076r,wd/wd012107r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd012107l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121071l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121072l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121073l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121074l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121075l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0121076l,wd/wd012107l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd012201r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122011r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122012r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122013r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122014r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122015r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122016r,wd/wd012201r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd012201l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0122011l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0122012l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0122013l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0122014l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0122015l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd0122016l,wd/wd012201l,LF_WD_WT_L,LF_WD_WT_L_W,LF_WD_HD_L,LF_WD_HD_L_W,0
wd/wd012207r,wd/wd012207r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122071r,wd/wd012207r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122072r,wd/wd012207r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122073r,wd/wd012207r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
wd/wd0122074r,wd/wd012207r,LF_WD_WT_R,LF_WD_WT_R_W,LF_WD_HD_R,LF_WD_HD_R_W,0
