Name {2},Caption {2},zoneID {1},category {1},panel {1},Rare {1},Price {2},ItemInfo [NoSell] {1},UI2 {2},UI3 {2}
113,413,6,4,0,3,300,0,113,413
114,414,6,4,0,4,400,0,114,414
115,415,6,4,0,4,400,0,115,415
116,416,2,5,1,1,100,0,116,416
117,417,2,5,0,1,100,0,117,417
118,418,2,5,0,1,100,0,118,418
119,419,2,5,0,2,200,0,119,419
120,420,2,5,0,3,300,0,120,420
121,421,2,5,0,3,300,0,121,421
122,422,2,5,0,4,400,0,122,422
123,423,4,5,0,1,100,0,123,423
124,424,4,5,0,1,100,0,124,424
125,425,4,5,0,1,100,0,125,425
126,426,4,5,0,1,100,0,126,426
127,427,4,5,0,1,100,0,127,427
128,428,4,5,1,2,200,0,128,428
129,429,4,5,0,2,200,0,129,429
130,430,4,5,0,3,300,0,130,430
131,431,5,5,0,1,100,0,131,431
132,432,5,5,0,1,100,0,132,432
133,433,5,5,0,1,100,0,133,433
134,434,5,5,0,2,200,0,134,434
135,435,5,5,1,3,300,0,135,435
136,436,5,5,0,3,300,0,136,436
137,437,5,5,0,4,400,0,137,437
138,438,7,5,0,1,100,0,138,438
139,439,7,5,0,1,100,0,139,439
140,440,7,5,0,2,200,0,140,440
141,441,7,5,0,3,300,0,141,441
142,442,7,5,1,4,400,0,142,442
143,443,7,5,0,4,400,0,143,443
144,444,6,5,0,1,100,0,144,444
145,445,6,5,0,1,100,0,145,445
146,446,6,5,0,1,100,0,146,446
147,447,6,5,1,3,300,0,147,447
148,448,6,5,0,3,300,0,148,448
149,449,2,6,0,2,200,0,149,449
150,450,2,6,0,2,200,0,150,450
151,451,2,6,0,3,300,0,151,451
152,452,2,6,0,3,300,0,152,452
153,453,2,6,1,4,400,0,153,453
154,454,2,6,0,4,400,0,154,454
155,455,4,6,0,1,100,0,155,455
156,456,4,6,0,1,100,0,156,456
157,457,4,6,1,1,100,0,157,457
158,458,4,6,0,2,200,0,158,458
159,459,4,6,0,3,300,0,159,459
160,460,4,6,0,3,300,0,160,460
161,461,4,6,0,4,400,0,161,461
162,462,5,6,0,2,200,0,162,462
163,463,5,6,0,2,200,0,163,463
164,464,5,6,0,3,300,0,164,464
165,465,5,6,0,4,400,0,165,465
166,466,5,6,1,4,400,0,166,466
167,467,7,6,0,1,100,0,167,467
168,468,7,6,0,1,100,0,168,468
169,469,7,6,0,1,100,0,169,469
170,470,7,6,1,2,200,0,170,470
171,471,7,6,0,3,300,0,171,471
172,472,7,6,0,3,300,0,172,472
173,473,7,6,0,3,300,0,173,473
174,474,6,6,0,1,100,0,174,474
175,475,6,6,0,1,100,0,175,475
176,476,6,6,0,2,200,0,176,476
177,477,6,6,0,2,200,0,177,477
178,478,6,6,1,3,300,0,178,478
179,479,6,6,0,4,400,0,179,479
180,480,2,7,0,1,100,0,180,480
181,481,2,7,0,1,100,0,181,481
182,482,2,7,0,1,100,0,182,482
183,483,2,7,0,1,100,0,183,483
184,484,2,7,0,1,100,0,184,484
185,485,2,7,1,2,200,0,185,485
186,486,2,7,0,2,200,0,186,486
187,487,4,7,0,1,100,0,187,487
188,488,4,7,0,1,100,0,188,488
189,489,4,7,1,1,100,0,189,489
190,490,4,7,0,2,200,0,190,490
191,491,4,7,0,2,200,0,191,491
192,492,4,7,0,3,300,0,192,492
193,493,5,7,0,2,200,0,193,493
194,494,5,7,0,3,300,0,194,494
195,495,5,7,0,4,400,0,195,495
196,496,5,7,1,4,400,0,196,496
197,497,7,7,0,2,200,0,197,497
198,498,7,7,0,2,200,0,198,498
199,499,7,7,1,3,300,0,199,499
200,500,7,7,0,4,400,0,200,500
201,501,7,7,0,4,400,0,201,501
202,502,6,7,0,1,100,0,202,502
203,503,6,7,0,1,100,0,203,503
204,504,6,7,0,1,100,0,204,504
205,505,6,7,0,2,200,0,205,505
206,506,6,7,0,3,300,0,206,506
207,507,6,7,0,3,300,0,207,507
208,508,6,7,1,3,300,0,208,508
209,509,2,8,0,2,200,0,209,509
210,510,2,8,0,3,300,0,210,510
211,511,2,8,0,4,400,0,211,511
212,512,2,8,1,4,400,0,212,512
213,513,2,8,0,4,400,0,213,513
214,514,4,8,0,2,200,0,214,514
215,515,4,8,1,2,200,0,215,515
216,516,4,8,0,3,300,0,216,516
217,517,4,8,0,4,400,0,217,517
218,518,5,8,1,1,100,0,218,518
219,519,5,8,0,1,100,0,219,519
220,520,5,8,0,2,200,0,220,520
221,521,5,8,0,2,200,0,221,521
222,522,5,8,0,3,300,0,222,522
223,523,5,8,0,4,400,0,223,523
224,524,5,8,0,4,400,0,224,524
225,525,5,8,0,4,400,0,225,525
226,526,7,8,0,1,100,0,226,526
227,527,7,8,0,1,100,0,227,527
228,528,7,8,0,1,100,0,228,528
229,529,7,8,0,2,200,0,229,529
230,530,7,8,1,3,300,0,230,530
231,531,7,8,0,4,400,0,231,531
232,532,6,8,0,1,100,0,232,532
233,533,6,8,0,1,100,0,233,533
234,534,6,8,0,1,100,0,234,534
235,535,6,8,0,1,100,0,235,535
236,536,6,8,0,1,100,0,236,536
237,537,6,8,0,2,200,0,237,537
238,538,6,8,0,2,200,0,238,538
239,539,6,8,1,3,300,0,239,539
240,540,2,9,0,2,200,0,240,540
241,541,2,9,0,2,200,0,241,541
242,542,2,9,0,4,400,0,242,542
243,543,2,9,0,4,400,0,243,543
244,544,2,9,1,4,400,0,244,544
245,545,4,9,0,2,200,0,245,545
246,546,4,9,0,3,300,0,246,546
247,547,4,9,1,4,400,0,247,547
248,548,4,9,0,4,400,0,248,548
249,549,5,9,0,1,100,0,249,549
250,550,5,9,0,1,100,0,250,550
251,551,5,9,1,1,100,0,251,551
252,552,5,9,0,2,200,0,252,552
253,553,5,9,0,2,200,0,253,553
254,554,5,9,0,3,300,0,254,554
255,555,7,9,0,1,100,0,255,555
256,556,7,9,1,1,100,0,256,556
257,557,7,9,0,2,200,0,257,557
258,558,7,9,0,2,200,0,258,558
259,559,7,9,0,3,300,0,259,559
260,560,7,9,0,4,400,0,260,560
261,561,7,9,0,4,400,0,261,561
262,562,6,9,0,1,100,0,262,562
263,563,6,9,0,1,100,0,263,563
264,564,6,9,0,1,100,0,264,564
265,565,6,9,0,2,200,0,265,565
266,566,6,9,1,3,300,0,266,566
267,567,6,9,0,4,400,0,267,567
268,568,2,10,0,2,200,0,268,568
269,569,2,10,1,2,200,0,269,569
270,570,2,10,0,3,300,0,270,570
271,571,2,10,0,3,300,0,271,571
272,572,2,10,0,4,400,0,272,572
273,573,4,10,0,2,200,0,273,573
274,574,4,10,0,2,200,0,274,574
275,575,4,10,0,4,400,0,275,575
276,576,4,10,1,4,400,0,276,576
277,577,4,10,0,4,400,0,277,577
278,578,5,10,0,1,100,0,278,578
279,579,5,10,0,1,100,0,279,579
280,580,5,10,0,1,100,0,280,580
281,581,5,10,1,3,300,0,281,581
282,582,5,10,0,3,300,0,282,582
283,583,5,10,0,3,300,0,283,583
284,584,5,10,0,4,400,0,284,584
285,585,7,10,1,1,100,0,285,585
286,586,7,10,0,1,100,0,286,586
287,587,7,10,0,1,100,0,287,587
288,588,7,10,0,1,100,0,288,588
289,589,7,10,0,1,100,0,289,589
290,590,7,10,0,2,200,0,290,590
291,591,7,10,0,3,300,0,291,591
292,592,7,10,0,3,300,0,292,592
293,593,6,10,0,1,100,0,293,593
294,594,6,10,0,1,100,0,294,594
295,595,6,10,0,2,200,0,295,595
296,596,6,10,0,2,200,0,296,596
297,597,6,10,0,3,300,0,297,597
298,598,6,10,0,3,300,0,298,598
299,599,6,10,1,4,400,0,299,599
300,600,6,10,0,4,400,0,300,600
