hashID {9},Title {2},Description {2},StatsID {2},Count {3},Type {1},sortID {2},Disp {1},HideGoal {1},Unlock {1},Title_replace_ms {1},Title_replace_id {2},Desc_replace_ms {1},Desc_replace_id {2}
<3071FCC7>,81,991,80,1,0,810,1,2,0,0,0,0,0
<166EDD7C>,82,992,81,1,0,820,1,2,0,0,0,0,0
<ACC186F9>,83,993,82,1,0,830,1,2,0,0,0,0,0
<17F581A8>,91,1001,90,1,0,910,1,2,0,0,0,0,0
<0C9FF2B7>,92,1002,91,1,0,920,1,2,0,0,0,0,0
<70BE0C77>,93,1003,92,1,0,930,1,2,0,0,0,0,0
<50328EF0>,94,1004,93,1,0,940,1,2,0,0,0,0,0
<2E953901>,101,1011,100,1,0,1010,1,2,0,0,0,0,0
<45817662>,102,1012,101,1,0,1020,1,2,0,0,0,0,0
<E06778F0>,103,1013,102,1,0,1030,1,2,0,0,0,0,0
<5CFCD97C>,111,1021,110,1,0,1110,1,2,0,0,0,0,0
<6F235C78>,112,1022,111,1,0,1120,1,2,0,0,0,0,0
<01660234>,113,1023,112,1,0,1130,1,2,0,0,0,0,0
<D8D03EA5>,114,1024,113,1,0,1140,1,2,0,0,0,0,0
<C4EE4C57>,121,1031,120,1,0,1210,1,2,0,0,0,0,0
<52322754>,122,1032,121,1,0,1220,1,2,0,0,0,0,0
<8C38F5A2>,123,1033,122,1,0,1230,1,2,0,0,0,0,0
<469DCF71>,124,1034,123,1,0,1240,1,2,0,0,0,0,0
<44F3F950>,125,1035,124,1,0,1250,1,2,0,0,0,0,0
<A172B914>,131,1042,825,1,0,1300,1,2,0,0,0,0,0
<C8F4DD59>,132,1043,545,1,0,1310,1,0,0,0,0,0,0
<B3D2AE45>,133,1044,545,10,0,1400,1,0,0,0,0,0,0
<7A009D57>,134,1045,545,50,0,1410,1,0,0,0,0,0,0
<19496708>,135,1046,545,100,0,1420,1,0,0,0,0,0,0
<F7A175F3>,136,1047,342,1,0,1500,0,2,0,0,0,0,0
<70137B1D>,137,1048,343,1,0,1510,1,2,0,0,0,0,0
<869A41E2>,138,1049,344,1,0,1520,1,2,0,0,0,0,0
<11E8E974>,139,1050,546,1,0,1600,0,2,0,0,0,0,0
<84BA6B07>,140,1051,693,1,0,1610,1,2,0,0,0,0,0
<7057E41D>,141,1052,562,1,0,1620,1,0,0,0,0,0,0
<476A7840>,142,1053,562,10,0,1630,1,0,0,0,0,0,0
<20195BBA>,143,1054,562,100,0,1640,1,0,0,0,0,0,0
<5A15D62D>,144,1055,562,300,0,1650,1,0,0,0,0,0,0
<B2B1FD3F>,145,1056,566,1,0,1700,1,2,0,0,0,0,0
<B5E06482>,146,1057,563,1,0,1710,1,0,0,0,0,0,0
<873B3240>,147,1058,563,10,0,1720,1,0,0,0,0,0,0
<36ADE2D0>,148,1059,563,20,0,1730,1,0,0,0,0,0,0
<CD288138>,149,1060,563,40,0,1740,1,1,0,0,0,0,0
<701E7BAD>,150,1061,546,10,0,1601,0,0,0,0,0,0,0
<B358FA3B>,151,1062,546,100,0,1602,0,0,0,0,0,0,0
<82267CE0>,152,1063,546,200,0,1603,0,0,0,0,0,0,0
<C042A711>,153,1064,130,1,0,1900,0,2,0,0,0,0,0
<C27B09FF>,154,1065,571,1,0,2000,0,0,0,0,0,0,0
<4FE48A23>,155,1066,571,100,0,2010,0,0,0,0,0,0,0
<246C928D>,156,1067,571,500,0,2020,0,0,0,0,0,0,0
<6F97956C>,157,1068,571,1000,0,2030,0,0,0,0,0,0,0
<B9DC830E>,158,1069,278,1,0,2100,0,2,0,0,0,0,0
<9A1C8C17>,159,1070,279,1,0,2101,0,2,0,0,0,0,0
<677F1E15>,160,1071,280,1,0,2102,0,2,0,0,0,0,0
<7E482CC3>,161,1072,281,1,0,2103,0,2,0,0,0,0,0
<BDF27700>,162,1073,282,1,0,2104,0,2,0,0,0,0,0
<D6D9B69A>,163,1074,283,1,0,2105,0,2,0,0,0,0,0
<24310D7C>,164,1075,284,1,0,2106,0,2,0,0,0,0,0
<5CD902D2>,165,1076,285,1,0,2107,0,2,0,0,0,0,0
<AEDA7963>,166,1077,286,1,0,2108,0,2,0,0,0,0,0
<61D82DD8>,167,1078,287,1,0,2109,0,2,0,0,0,0,0
<D8A9E107>,168,1079,288,1,0,2110,0,2,0,0,0,0,0
<A0957424>,169,1080,289,1,0,2111,0,2,0,0,0,0,0
<6A69D16B>,170,1081,290,1,0,2112,0,2,0,0,0,0,0
<BC99B095>,172,1083,559,1,2,3699,0,0,0,0,0,0,0
<1C20D5E8>,173,1084,560,100,2,21500,1,0,0,0,0,0,0
<57AA16AC>,174,1085,560,300,2,21510,1,0,0,0,0,0,0
<F25B17C1>,175,1086,561,1,2,3998,0,0,0,0,0,0,0
<58BC2B3C>,176,1087,561,50,2,3999,0,0,0,0,0,0,0
<137605CC>,177,1088,291,1,0,2113,0,2,0,0,0,0,0
<81F03F49>,178,1089,292,1,0,2114,0,2,0,0,0,0,0
<577D6EBF>,179,1090,293,1,0,2115,0,2,0,0,0,0,0
<C56FE0D7>,180,1091,297,1,0,2116,0,2,0,0,0,0,0
<905E6A25>,181,1092,298,1,0,2117,0,2,0,0,0,0,0
<EBA64DA9>,182,1093,299,1,0,2118,0,2,0,0,0,0,0
<77EA5885>,183,1094,300,1,0,2119,0,2,0,0,0,0,0
<49DBFB25>,193,1104,825,20,0,2600,1,0,0,0,0,0,0
<81D67FC4>,194,1105,131,1,0,2700,1,2,0,0,0,0,0
<43F57C64>,195,1106,132,1,0,2801,1,2,0,0,0,0,0
<258A2588>,196,1107,133,1,0,2802,1,2,0,0,0,0,0
<CC78C560>,197,1108,134,1,0,2803,1,2,0,0,0,0,0
<0D0F3A35>,198,1109,135,1,0,2804,1,2,0,0,0,0,0
<B3ABE457>,199,1110,136,1,0,2805,1,2,0,0,0,0,0
<71F5D3DE>,200,1111,137,1,0,2806,1,2,0,0,0,0,0
<383687FE>,201,1112,138,1,0,2807,1,2,0,0,0,0,0
<6D7A8A5E>,202,1113,139,1,0,2808,1,2,0,0,0,0,0
<B0276256>,203,1114,140,1,0,2809,1,2,0,0,0,0,0
<6112BBEA>,204,1115,141,1,0,2810,1,2,0,0,0,0,0
<FA1A7533>,205,1116,142,1,0,2811,1,2,0,0,0,0,0
<F151055E>,206,1117,143,1,0,2812,1,2,0,0,0,0,0
<57672F30>,207,1118,144,1,0,2813,1,2,0,0,0,0,0
<6143690E>,208,1119,145,1,0,2814,1,2,0,0,0,0,0
<EDCA2E78>,209,1120,146,1,0,2815,1,2,0,0,0,0,0
<98A05251>,210,1121,147,1,0,2816,1,2,0,0,0,0,0
<060043C9>,211,1122,148,1,0,2817,1,2,0,0,0,0,0
<B6C07387>,212,1123,149,1,0,2818,1,2,0,0,0,0,0
<AA08A0A9>,213,1124,150,1,0,2819,1,2,0,0,0,0,0
<A4EF08F2>,214,1125,151,1,0,2820,1,2,0,0,0,0,0
<50917407>,215,1126,339,1,0,2900,1,2,0,0,0,0,0
<43C3A32E>,216,1127,340,1,0,2910,1,2,0,0,0,0,0
<18D86F2E>,217,1128,341,1,0,2920,1,2,0,0,0,0,0
<13F23558>,218,1129,152,1,0,3000,1,2,0,0,0,0,0
<7957D5E8>,219,1130,153,1,0,3010,1,2,0,0,0,0,0
<923350F9>,220,1131,154,1,0,3020,1,2,0,0,0,0,0
<20A2E4E3>,221,1132,155,1,0,3030,1,2,0,0,0,0,0
<6E5637F6>,222,1133,156,1,0,3040,1,2,0,0,0,0,0
<4329DEA4>,223,1134,157,1,0,3050,1,2,0,0,0,0,0
<CF5E69DF>,224,1135,158,1,0,3060,1,2,0,0,0,0,0
<2F7FD866>,225,1136,159,1,0,3070,1,2,0,0,0,0,0
<EB755611>,226,1137,160,1,0,3080,1,2,0,0,0,0,0
<AB34F188>,227,1138,161,1,0,3090,1,2,0,0,0,0,0
<ABA212AC>,228,1139,163,1,0,3113,1,2,0,0,0,0,0
<7ED249A1>,229,1140,173,1,0,3106,1,2,0,0,0,0,0
<8C30403C>,230,1141,166,1,0,3103,1,2,0,0,0,0,0
<83E341CE>,231,1142,164,1,0,3109,1,2,0,0,0,0,0
<75B2B5A2>,232,1143,168,1,0,3104,1,2,0,0,0,0,0
<12DC7B10>,233,1144,162,1,0,3116,1,2,0,0,0,0,0
<16D321A1>,234,1145,172,1,0,3117,1,2,0,0,0,0,0
<97DB6A88>,238,1149,167,1,0,3111,1,2,0,0,0,0,0
<AD9473A4>,239,1150,171,1,0,3112,1,2,0,0,0,0,0
<6A5B79F6>,240,1151,174,1,0,3107,1,2,0,0,0,0,0
<3D25A2CC>,242,1153,176,1,0,3108,1,2,0,0,0,0,0
<026B56B0>,243,1154,177,1,0,3119,1,2,0,0,0,0,0
<666D1DD1>,244,1155,188,1,0,3200,1,2,0,0,0,0,0
<4C1B99F5>,245,1156,189,1,0,3201,1,2,0,0,0,0,0
<B0FB16BB>,246,1157,179,1,0,3213,1,2,0,0,0,0,0
<CC7BE8BA>,247,1158,191,1,0,3206,1,2,0,0,0,0,0
<D7A1895F>,248,1159,182,1,0,3203,1,2,0,0,0,0,0
<63C29379>,250,1161,184,1,0,3204,1,2,0,0,0,0,0
<1CA1C175>,251,1162,178,1,0,3216,1,2,0,0,0,0,0
<47267E8F>,252,1163,190,1,0,3217,1,2,0,0,0,0,0
<07CB9D33>,256,1167,183,1,0,3211,1,2,0,0,0,0,0
<52AF8B97>,257,1168,187,1,0,3212,1,2,0,0,0,0,0
<4DD148D7>,258,1169,192,1,0,3207,1,2,0,0,0,0,0
<CD20D178>,260,1171,194,1,0,3208,1,2,0,0,0,0,0
<7800AB41>,261,1172,195,1,0,3219,1,2,0,0,0,0,0
<256F0EA4>,262,1173,796,20,0,3496,1,2,0,0,0,0,0
<19EC3863>,263,1174,796,30,0,3497,1,2,0,0,0,0,0
<9ABF03BC>,264,1175,796,40,0,3498,1,2,0,0,0,0,0
<62099497>,265,1176,796,50,0,3499,1,2,0,0,0,0,0
<AFE2E3D1>,266,1177,229,1,0,3400,1,2,0,0,0,0,0
<65BE649B>,267,1178,230,1,0,3401,1,2,0,0,0,0,0
<265FBC82>,268,1179,220,1,0,3413,1,2,0,0,0,0,0
<90DBF95C>,269,1180,232,1,0,3406,1,2,0,0,0,0,0
<C3556153>,270,1181,223,1,0,3403,1,2,0,0,0,0,0
<2A90F1EB>,272,1183,225,1,0,3404,1,2,0,0,0,0,0
<E0B40E14>,273,1184,219,1,0,3416,1,2,0,0,0,0,0
<DCCA9D60>,274,1185,231,1,0,3417,1,2,0,0,0,0,0
<1D7ED753>,278,1189,224,1,0,3411,1,2,0,0,0,0,0
<1F442841>,279,1190,228,1,0,3412,1,2,0,0,0,0,0
<9C11C846>,280,1191,233,1,0,3407,1,2,0,0,0,0,0
<11D2F94C>,282,1193,235,1,0,3408,1,2,0,0,0,0,0
<06AE7E6B>,283,1194,236,1,0,3419,1,2,0,0,0,0,0
<AF66BC4C>,284,1195,676,1,0,3500,1,0,0,0,0,0,0
<01806235>,285,1196,676,10,0,3510,1,0,0,0,0,0,0
<72EBD820>,286,1197,676,50,0,3520,1,0,0,0,0,0,0
<306F0047>,287,1198,676,100,0,3530,1,0,0,0,0,0,0
<EC405DD4>,288,1199,676,500,0,3540,1,0,0,0,0,0,0
<D7129F5F>,289,1200,676,1000,0,3550,1,0,0,0,0,0,0
<F84782EC>,290,1201,677,1,0,3600,1,0,0,0,0,0,0
<8303C587>,291,1202,677,50,0,3610,1,0,0,0,0,0,0
<83D0596F>,292,1203,677,100,0,3620,1,0,0,0,0,0,0
<E42AF22E>,293,1204,677,200,0,3630,1,1,0,0,0,0,0
<D3F2E071>,294,1219,559,5,2,3700,0,0,0,0,0,0,0
<25CA0397>,295,1220,559,10,2,3710,0,0,0,0,0,0,0
<9E62ED43>,296,1221,559,20,2,3720,0,0,0,0,0,0,0
<C2D076C6>,297,1222,688,1,2,3800,0,0,0,0,0,0,0
<17A27A11>,298,1223,688,10,2,3810,0,0,0,0,0,0,0
<FB18D216>,299,1224,688,50,2,3820,0,0,0,0,0,0,0
<00B0BDA1>,300,1225,688,100,2,3830,0,0,0,0,0,0,0
<6A3E2924>,301,1226,569,1,2,3900,0,0,0,0,0,0,0
<B2B35E0D>,302,1227,569,3,2,3910,0,0,0,0,0,0,0
<FFBD35D5>,303,1228,569,3,2,3920,0,0,0,0,0,0,0
<0B675D67>,304,1229,569,50,2,3930,0,0,0,0,0,0,0
<DEDFE495>,305,1230,570,1,2,3940,0,0,0,0,0,0,0
<9E28BF88>,306,1231,570,10,2,3950,0,0,0,0,0,0,0
<EC65463A>,307,1232,570,50,2,3960,0,0,0,0,0,0,0
<A2B90DB5>,308,1233,570,100,2,3970,0,0,0,0,0,0,0
<176292CF>,309,1234,561,100,2,4000,0,0,0,0,0,0,0
<08E6EF52>,310,1235,561,500,2,4010,0,0,0,0,0,0,0
<52AB8C7D>,311,1236,686,1,2,4020,0,0,0,0,0,0,0
<F770A505>,312,1237,686,5,2,4030,0,0,0,0,0,0,0
<57E26FFF>,313,1238,686,10,2,4040,0,0,0,0,0,0,0
<5CCC7663>,314,1239,686,50,2,4050,0,0,0,0,0,0,0
<CF29B3B6>,315,1240,687,1,2,4100,0,0,0,0,0,0,0
<F5258ED5>,316,1241,687,50,2,4110,0,0,0,0,0,0,0
<6052EDA8>,317,1242,687,100,2,4120,0,0,0,0,0,0,0
<9A294356>,318,1243,687,500,2,4130,0,0,0,0,0,0,0
<147B37FC>,319,1244,574,10,2,4200,0,0,0,0,0,0,0
<3D2181C3>,320,1245,574,50,2,4210,0,0,0,0,0,0,0
<30038AE1>,321,1246,574,100,2,4220,0,0,0,0,0,0,0
<B25A871F>,322,1247,560,500,2,21520,1,0,0,0,0,0,0
<A5A27C74>,323,1248,560,740,2,21530,1,1,0,0,0,0,0
<36ACF8F3>,324,1249,788,2,2,4300,1,0,0,0,0,0,0
<3DB8BB10>,325,1250,788,4,2,4310,1,0,0,0,0,0,0
<D8CD53AE>,326,1251,788,5,2,4320,1,0,0,0,0,0,0
<F71AD8F2>,327,1252,789,2,2,4400,1,0,0,0,0,0,0
<61A67B79>,328,1253,789,4,2,4510,1,0,0,0,0,0,0
<B5DAAB17>,329,1254,789,5,2,4520,1,0,0,0,0,0,0
<76D644BA>,330,1255,791,2,2,4600,1,0,0,0,0,0,0
<2C1FCD4E>,331,1256,791,4,2,4610,1,0,0,0,0,0,0
<5CD1A3C9>,332,1257,791,5,2,4620,1,0,0,0,0,0,0
<D348A201>,333,1258,790,2,2,4700,1,0,0,0,0,0,0
<5E95F5CC>,334,1259,790,4,2,4710,1,0,0,0,0,0,0
<F8C23DCA>,335,1260,790,5,2,4720,1,0,0,0,0,0,0
<1CE54D34>,336,1261,792,2,2,4800,1,0,0,0,0,0,0
<FC7B4C48>,337,1262,792,4,2,4810,1,0,0,0,0,0,0
<5CE14C76>,338,1263,792,5,2,4820,1,0,0,0,0,0,0
<F2E8FA23>,339,1264,793,2,2,4900,1,0,0,0,0,0,0
<70EF9B1D>,340,1265,793,4,2,4910,1,0,0,0,0,0,0
<128C35A9>,341,1266,793,5,2,4920,1,0,0,0,0,0,0
<74511F8D>,342,1267,794,2,2,5000,1,0,0,0,0,0,0
<9CBCCE53>,343,1268,794,4,2,5010,1,0,0,0,0,0,0
<D3ABABC4>,344,1269,794,5,2,5020,1,0,0,0,0,0,0
<EF0EB02C>,345,1270,795,2,2,5100,1,0,0,0,0,0,0
<37DAEB4C>,346,1271,795,4,2,5110,1,0,0,0,0,0,0
<9CFEE841>,347,1272,795,5,2,5120,1,0,0,0,0,0,0
<DB5DB0C1>,348,1273,575,10,2,5200,1,0,0,0,0,0,0
<0B66DBD7>,349,1274,575,50,2,5210,1,0,0,0,0,0,0
<8E916018>,350,1275,575,100,2,5220,1,0,0,0,0,0,0
<D7E01D09>,351,1276,575,200,2,5230,1,0,0,0,0,0,0
<B891CF0B>,352,1277,575,300,2,5240,1,1,0,0,0,0,0
<317B8610>,353,1278,576,10,2,5300,1,0,0,0,0,0,0
<65E63943>,354,1279,576,50,2,5310,1,0,0,0,0,0,0
<108294F8>,355,1280,576,100,2,5320,1,0,0,0,0,0,0
<3002038C>,356,1281,576,200,2,5330,1,0,0,0,0,0,0
<E05C8F55>,357,1282,576,300,2,5340,1,1,0,0,0,0,0
<9DBF9057>,358,1283,577,10,2,5400,0,0,0,0,0,0,0
<439976C9>,359,1284,577,50,2,5410,0,0,0,0,0,0,0
<62811FBE>,360,1285,577,100,2,5420,0,0,0,0,0,0,0
<E8BD89BB>,361,1286,583,1,2,5500,1,0,0,0,0,0,0
<D4FBFF0D>,362,1287,583,30,2,5510,1,0,0,0,0,0,0
<662BA264>,363,1288,583,100,2,5520,1,0,0,0,0,0,0
<197E0B11>,364,1289,584,50,2,5600,1,0,0,0,0,0,0
<ED2F6AD7>,365,1290,584,100,2,5610,1,0,0,0,0,0,0
<82D788C6>,366,1291,584,484,2,5620,1,1,0,0,0,0,0
<F64BE46E>,367,1292,585,1,2,5700,1,0,0,0,0,0,0
<76AD98B3>,368,1293,585,3,2,5710,1,0,0,0,0,0,0
<06DF6E2E>,369,1294,585,5,2,5720,1,0,0,0,0,0,0
<D43D83AF>,370,1295,218,1,2,5800,1,2,0,0,0,0,0
<36888C30>,371,1359,662,20,2,5900,1,0,0,0,0,0,0
<05C5C7AC>,372,1360,662,60,2,5910,1,0,0,0,0,0,0
<EF1AE75F>,373,1361,662,100,2,5920,1,1,0,0,0,0,0
<3CBB366B>,374,1362,548,10,2,6000,1,0,0,0,0,0,0
<D86A329B>,375,1363,548,50,2,6010,1,0,0,0,0,0,0
<07DFD790>,376,1364,548,70,2,6020,1,1,0,0,0,0,0
<4F75306A>,377,1365,663,5,2,6100,1,0,0,0,0,0,0
<B644597E>,378,1366,663,15,2,6110,1,0,0,0,0,0,0
<DF00260E>,379,1367,663,30,2,6120,1,1,0,0,0,0,0
<AE142FD9>,380,1368,664,1,2,6200,1,2,0,1,99,1,99
<E7324A9C>,381,1369,665,1,2,6210,1,2,0,1,1,1,1
<BCA52355>,382,1370,666,1,2,6220,1,2,0,1,190,1,190
<ACAD8ED1>,383,1371,667,1,2,6230,1,2,0,1,355,1,355
<54E3269F>,384,1372,668,1,2,6240,1,2,0,1,282,1,282
<EEFF3312>,385,1373,669,1,2,6250,1,2,0,1,459,1,459
<FDD1F7CC>,386,1374,275,1,2,6301,1,2,0,1,63,1,63
<B7DD6989>,387,1375,303,1,2,6302,1,2,0,1,101,1,101
<8B962134>,388,1376,304,1,2,6303,1,2,0,1,108,1,108
<C5502172>,389,1377,305,1,2,6304,1,2,0,1,124,1,124
<2A5E9F49>,390,1378,306,1,2,6305,1,2,0,1,180,1,180
<CF35FF1D>,391,1379,307,1,2,6306,1,2,0,1,7,1,7
<CAE0CACC>,392,1380,308,1,2,6307,1,2,0,1,21,1,21
<2BEB0E03>,393,1381,309,1,2,6308,1,2,0,1,42,1,42
<F8051DD0>,394,1382,310,1,2,6309,1,2,0,1,48,1,48
<B9A8A46E>,395,1383,311,1,2,6310,1,2,0,1,57,1,57
<BB97B43F>,396,1384,312,1,2,6311,1,2,0,1,202,1,202
<49AF6D57>,397,1385,313,1,2,6312,1,2,0,1,207,1,207
<9CAA34ED>,398,1386,314,1,2,6313,1,2,0,1,208,1,208
<E695749C>,399,1387,315,1,2,6314,1,2,0,1,230,1,230
<142DD6E4>,400,1388,316,1,2,6315,1,2,0,1,232,1,232
<7ACC4AF1>,401,1389,317,1,2,6316,1,2,0,1,393,1,393
<D1C0631A>,402,1390,318,1,2,6317,1,2,0,1,395,1,395
<A731E07B>,403,1391,319,1,2,6318,1,2,0,1,399,1,399
<76D50909>,404,1392,320,1,2,6319,1,2,0,1,402,1,402
<3710D26C>,405,1393,321,1,2,6320,1,2,0,1,403,1,403
<320829D6>,406,1394,322,1,2,6321,1,2,0,1,301,1,301
<889726A8>,407,1395,323,1,2,6322,1,2,0,1,307,1,307
<5C400A00>,408,1396,324,1,2,6323,1,2,0,1,316,1,316
<A1EDC5B2>,409,1397,325,1,2,6326,1,2,0,1,115,1,115
<C1E103A6>,410,1398,326,1,2,6327,1,2,0,1,141,1,141
<89F96D47>,411,1399,327,1,2,6328,1,2,0,1,13,1,13
<12AEEF20>,412,1400,328,1,2,6329,1,2,0,1,26,1,26
<4DBFF49A>,413,1401,329,1,2,6330,1,2,0,1,28,1,28
<06CC61E8>,414,1402,330,1,2,6331,1,2,0,1,198,1,198
<1510C5F4>,415,1403,331,1,2,6332,1,2,0,1,203,1,203
<2DBC2B7E>,416,1404,332,1,2,6333,1,2,0,1,226,1,226
<63B9E045>,417,1405,333,1,2,6334,1,2,0,1,238,1,238
<3CD57C9F>,418,1406,334,1,2,6335,1,2,0,1,366,1,366
<1A027875>,419,1407,335,1,2,6336,1,2,0,1,398,1,398
<11B19A45>,420,1408,336,1,2,6337,1,2,0,1,299,1,299
<D3963696>,421,1409,337,1,2,6338,1,2,0,1,318,1,318
<835939DE>,422,1410,801,20,2,6400,1,0,0,1,99,1,99
<AD96CA21>,423,1411,801,40,2,6410,1,0,0,1,99,1,99
<70BB1188>,424,1412,801,60,2,6420,1,0,0,1,99,1,99
<A0D0B8D2>,425,1413,801,80,2,6430,1,0,0,1,99,1,99
<4FB732DF>,426,1414,801,100,2,6440,1,0,0,1,99,1,99
<0458903A>,427,1415,802,20,2,6500,1,0,0,1,1,1,1
<AC558D90>,428,1416,802,40,2,6510,1,0,0,1,1,1,1
<E40D3AE8>,429,1417,802,60,2,6520,1,0,0,1,1,1,1
<7232F157>,430,1418,802,80,2,6530,1,0,0,1,1,1,1
<85AEBBD0>,431,1419,802,100,2,6540,1,0,0,1,1,1,1
<A7C74743>,432,1420,803,20,2,6600,1,0,0,1,190,1,190
<D560656D>,433,1421,803,40,2,6610,1,0,0,1,190,1,190
<CE6ECF8F>,434,1422,803,60,2,6620,1,0,0,1,190,1,190
<E454E25C>,435,1423,803,80,2,6630,1,0,0,1,190,1,190
<E91931EE>,436,1424,803,100,2,6640,1,0,0,1,190,1,190
<CBC999C8>,437,1425,804,20,2,6700,1,0,0,1,355,1,355
<2AF56E55>,438,1426,804,40,2,6710,1,0,0,1,355,1,355
<7A7F13F9>,439,1427,804,60,2,6720,1,0,0,1,355,1,355
<FD28C714>,440,1428,804,80,2,6730,1,0,0,1,355,1,355
<3AB5F699>,441,1429,804,100,2,6740,1,0,0,1,355,1,355
<4FFE5582>,442,1430,805,20,2,6800,1,0,0,1,282,1,282
<3CAA4A81>,443,1431,805,40,2,6810,1,0,0,1,282,1,282
<BCF62399>,444,1432,805,60,2,6820,1,0,0,1,282,1,282
<BE740F46>,445,1433,805,80,2,6830,1,0,0,1,282,1,282
<B942E919>,446,1434,805,100,2,6840,1,0,0,1,282,1,282
<BCD7050F>,447,1435,806,20,2,6900,1,0,0,1,515,1,515
<75129B7F>,448,1436,806,40,2,6910,1,0,0,1,515,1,515
<7CF87D38>,449,1437,806,60,2,6920,1,0,0,1,515,1,515
<ABAF6027>,450,1438,806,80,2,6930,1,0,0,1,515,1,515
<C5F627C8>,451,1439,806,100,2,6940,1,0,0,1,515,1,515
<EB81B57D>,452,1440,807,20,2,7000,1,0,0,1,514,1,514
<D709D0C2>,453,1441,807,40,2,7010,1,0,0,1,514,1,514
<FE44FF70>,454,1442,807,60,2,7020,1,0,0,1,514,1,514
<9E03B808>,455,1443,807,80,2,7030,1,0,0,1,514,1,514
<8B308444>,456,1444,807,100,2,7040,1,0,0,1,514,1,514
<5162E15A>,457,1445,808,20,2,7100,1,0,0,1,517,1,517
<5A7B2175>,458,1446,808,40,2,7110,1,0,0,1,517,1,517
<18216493>,459,1447,808,60,2,7120,1,0,0,1,517,1,517
<39498F26>,460,1448,808,80,2,7130,1,0,0,1,517,1,517
<E66A32F2>,461,1449,808,100,2,7140,1,0,0,1,517,1,517
<DA607B63>,462,1450,809,20,2,7200,1,0,0,1,518,1,518
<AC2242B3>,463,1451,809,40,2,7210,1,0,0,1,518,1,518
<2B02BB6A>,464,1452,809,60,2,7220,1,0,0,1,518,1,518
<FF22EB2B>,465,1453,809,80,2,7230,1,0,0,1,518,1,518
<1B365BB9>,466,1454,809,100,2,7240,1,0,0,1,518,1,518
<77831B9D>,467,1455,810,20,2,7300,1,0,0,1,516,1,516
<2A81A62F>,468,1456,810,40,2,7310,1,0,0,1,516,1,516
<6C709203>,469,1457,810,60,2,7320,1,0,0,1,516,1,516
<FF3EFE18>,470,1458,810,80,2,7330,1,0,0,1,516,1,516
<23A81871>,471,1459,810,100,2,7340,1,0,0,1,516,1,516
<D3FAB928>,472,1460,811,20,2,7400,1,0,0,1,523,1,523
<E7BE3D32>,473,1461,811,40,2,7410,1,0,0,1,523,1,523
<6704D62A>,474,1462,811,60,2,7420,1,0,0,1,523,1,523
<734CB4A0>,475,1463,811,80,2,7430,1,0,0,1,523,1,523
<C7631FA6>,476,1464,811,100,2,7440,1,0,0,1,523,1,523
<6845D960>,477,1465,271,1,2,7500,1,2,0,0,0,0,0
<17DF05DA>,478,1466,550,1,2,7600,1,0,0,0,0,0,0
